W,sigma_GLC,sigma_BG
101.9,1529.32,1595.86
93.2637,1513.26,1579.1
85.3594,1496.71,1561.85
78.1249,1479.67,1544.08
71.5036,1462.13,1525.79
65.4435,1444.09,1507
59.897,1425.55,1487.69
54.8206,1406.51,1467.86
50.1744,1386.98,1447.52
45.922,1366.94,1426.68
42.0299,1346.41,1405.32
38.4678,1325.4,1383.47
35.2075,1303.91,1361.13
32.2236,1281.94,1338.31
29.4926,1259.52,1315.01
26.993,1236.64,1291.26
24.7053,1213.33,1267.07
22.6114,1189.6,1242.44
20.6951,1165.46,1217.41
18.9411,1140.94,1191.99
17.3358,1116.06,1166.2
15.8665,1090.83,1140.07
14.5218,1065.29,1113.62
13.291,1039.46,1086.88
12.1646,1013.37,1059.87
11.1336,987.04,1032.63
10.19,960.512,1005.19
9.32637,933.815,977.586
8.53594,906.984,949.847
7.81249,880.052,922.01
7.15036,853.058,894.113
6.54435,826.038,866.193
5.9897,799.031,838.288
5.48206,772.076,810.436
5.01744,745.212,782.678
4.5922,718.478,755.052
4.20299,691.916,727.598
3.84678,665.564,700.355
3.52075,639.462,673.362
3.22236,613.651,646.658
