W,sigma_GLC,sigma_BG
309.7,1427.54,1666.23
283.452,1352.83,1569.16
259.429,1280.81,1476.36
237.441,1211.47,1387.77
217.318,1144.81,1303.3
198.899,1080.81,1222.87
182.042,1019.45,1146.4
166.614,960.701,1073.78
152.493,904.522,1004.91
139.568,850.873,939.684
127.74,799.708,877.978
116.913,750.973,819.676
107.005,704.613,764.657
97.9357,660.566,712.796
89.6354,618.769,663.969
82.0386,579.154,618.048
75.0856,541.653,574.909
68.7219,506.195,534.425
62.8975,472.705,496.473
57.5668,441.112,460.929
52.6878,411.339,427.673
48.2224,383.313,396.588
44.1354,356.958,367.559
40.3948,332.201,340.472
36.9713,308.967,315.221
33.8378,287.185,291.7
30.97,266.782,269.808
28.3452,247.69,249.448
25.9429,229.84,230.527
23.7441,213.165,212.955
21.7318,197.602,196.648
19.8899,183.087,181.524
18.2042,169.562,167.507
16.6614,156.968,154.523
15.2493,145.249,142.503
13.9568,134.353,131.381
12.774,124.228,121.096
11.6913,114.827,111.59
10.7005,106.102,102.807
9.79357,98.0101,94.6967
