r,z,phi_T,phi_L
1.97239e-05,0.577889,0.0731892,0.202465
1.97239e-05,0.582915,0.0727051,0.201794
1.97239e-05,0.58794,0.0721925,0.201081
1.97239e-05,0.592965,0.0716518,0.200327
1.97239e-05,0.59799,0.0710832,0.19953
1.97239e-05,0.603015,0.0704871,0.198692
1.97239e-05,0.60804,0.0698639,0.197812
1.97239e-05,0.613065,0.069214,0.196889
1.97239e-05,0.61809,0.0685378,0.195925
1.97239e-05,0.623116,0.0678358,0.194919
1.97239e-05,0.628141,0.0671083,0.193871
1.97239e-05,0.633166,0.0663559,0.192781
1.97239e-05,0.638191,0.0655791,0.19165
1.97239e-05,0.643216,0.0647783,0.190476
1.97239e-05,0.648241,0.0639541,0.18926
1.97239e-05,0.653266,0.063107,0.188003
1.97239e-05,0.658291,0.0622377,0.186703
1.97239e-05,0.663317,0.0613466,0.185362
1.97239e-05,0.668342,0.0604344,0.183979
1.97239e-05,0.673367,0.0595017,0.182553
1.97239e-05,0.678392,0.0585491,0.181086
1.97239e-05,0.683417,0.0575774,0.179577
1.97239e-05,0.688442,0.0565871,0.178026
1.97239e-05,0.693467,0.055579,0.176433
1.97239e-05,0.698492,0.0545538,0.174799
1.97239e-05,0.703518,0.0535122,0.173122
1.97239e-05,0.708543,0.052455,0.171403
1.97239e-05,0.713568,0.051383,0.169643
1.97239e-05,0.718593,0.0502969,0.16784
1.97239e-05,0.723618,0.0491975,0.165996
1.97239e-05,0.728643,0.0480857,0.164109
1.97239e-05,0.733668,0.0469624,0.162181
1.97239e-05,0.738693,0.0458283,0.160211
1.97239e-05,0.743719,0.0446845,0.158199
1.97239e-05,0.748744,0.0435317,0.156145
1.97239e-05,0.753769,0.0423709,0.154049
1.97239e-05,0.758794,0.041203,0.151911
1.97239e-05,0.763819,0.0400291,0.149732
1.97239e-05,0.768844,0.03885,0.14751
1.97239e-05,0.773869,0.0376668,0.145246
1.97239e-05,0.778894,0.0364806,0.142941
1.97239e-05,0.78392,0.0352922,0.140593
1.97239e-05,0.788945,0.0341029,0.138204
1.97239e-05,0.79397,0.0329135,0.135773
1.97239e-05,0.798995,0.0317254,0.1333
1.97239e-05,0.80402,0.0305395,0.130785
1.97239e-05,0.809045,0.029357,0.128228
