W,sigma_GLC,sigma_BG
25,24.1102,24.0821
26.2387,25.191,25.2729
27.5387,26.2823,26.4833
28.9032,27.3851,27.7143
30.3352,28.5006,28.9674
31.8382,32.2446,35.1512
33.4157,33.0108,36.0941
35.0714,33.8135,37.0843
36.8091,34.6517,38.1205
38.6328,35.524,39.2015
40.547,36.4297,40.3268
42.5559,37.3683,41.4957
44.6644,38.3393,42.7082
46.8774,39.3422,43.9637
49.2001,40.3769,45.2624
51.6378,41.4433,46.6043
54.1963,42.5414,47.9897
56.8815,43.6711,49.4187
59.6998,44.8326,50.8918
62.6577,46.026,52.4092
65.7622,47.2517,53.9717
69.0206,48.5098,55.5796
72.4403,49.8005,57.2335
76.0295,51.1244,58.9342
79.7965,52.4817,60.6824
83.7502,53.8729,62.4786
87.8997,55.2984,64.3239
92.2549,56.7587,66.2188
96.8258,58.2543,68.1645
101.623,59.7857,70.1616
106.658,61.3534,72.2112
111.943,62.958,74.3142
117.489,64.6001,76.4716
123.311,66.2804,78.6845
129.42,67.9993,80.9538
135.833,69.7577,83.2807
142.563,71.556,85.6662
149.626,73.3951,88.1116
157.04,75.2756,90.618
164.821,77.1982,93.1865
172.987,79.1637,95.8184
181.558,81.1728,98.5149
190.553,83.2262,101.277
199.995,85.3247,104.107
209.904,87.4692,107.005
220.304,89.6603,109.973
231.219,91.899,113.012
242.676,94.186,116.124
254.699,96.5222,119.309
267.319,98.9085,122.571
280.564,101.346,125.909
294.465,103.835,129.325
309.055,106.376,132.821
324.367,108.971,136.399
340.439,111.621,140.06
357.306,114.326,143.805
375.01,117.088,147.637
393.59,119.907,151.556
413.091,122.784,155.565
433.559,125.72,159.664
455.04,128.717,163.857
477.586,131.775,168.144
501.249,134.895,172.527
526.084,138.079,177.009
552.15,141.326,181.59
579.507,144.64,186.272
608.22,148.019,191.059
638.356,151.467,195.95
669.984,154.982,200.949
703.18,158.568,206.056
738.02,162.224,211.275
774.587,165.952,216.606
812.965,169.753,222.053
853.245,173.629,227.616
895.52,177.579,233.298
939.891,181.607,239.101
986.459,185.711,245.027
1035.34,189.895,251.078
1086.63,194.158,257.256
1140.47,198.503,263.563
1196.98,202.93,270.001
1256.29,207.441,276.573
1318.53,212.036,283.281
1383.86,216.718,290.127
1452.43,221.487,297.112
1524.39,226.344,304.24
1599.92,231.291,311.513
1679.19,236.33,318.932
1762.39,241.46,326.5
1849.71,246.684,334.22
1941.35,252.003,342.093
2037.54,257.418,350.123
2138.5,262.931,358.31
2244.45,268.542,366.659
2355.66,274.254,375.171
2472.37,280.067,383.848
2594.87,285.982,392.693
2723.44,292.002,401.708
2858.38,298.127,410.896
3000,304.359,420.259
