r,overlap_GLC,overlap_BG
0.000710475,0.000760821,0.0010249
0.00071871,0.000768014,0.00103461
0.000727041,0.00077527,0.00104441
0.000735468,0.000782592,0.0010543
0.000743993,0.00078998,0.00106427
0.000752616,0.000797433,0.00107434
0.00076134,0.000804953,0.0010845
0.000770165,0.00081254,0.00109475
0.000779092,0.000820196,0.00110509
0.000788122,0.000827919,0.00111552
0.000797258,0.000835711,0.00112605
0.000806499,0.000843573,0.00113667
0.000815847,0.000851504,0.00114738
0.000825303,0.000859507,0.00115819
0.00083487,0.00086758,0.0011691
0.000844547,0.000875725,0.00118011
0.000854336,0.000883942,0.00119121
0.000864239,0.000892232,0.00120241
0.000874256,0.000900596,0.00121371
0.00088439,0.000909033,0.00122511
0.000894641,0.000917545,0.00123662
0.000905011,0.000926132,0.00124822
0.000915501,0.000934795,0.00125993
0.000926112,0.000943535,0.00127174
0.000936847,0.000952351,0.00128366
0.000947706,0.000961246,0.00129568
0.000958691,0.000970218,0.00130781
0.000969803,0.000979269,0.00132004
0.000981045,0.0009884,0.00133239
0.000992416,0.000997611,0.00134484
0.00100392,0.0010069,0.0013574
0.00101556,0.00101628,0.00137007
0.00102733,0.00102573,0.00138286
0.00103923,0.00103527,0.00139575
0.00105128,0.00104489,0.00140876
0.00106347,0.00105459,0.00142188
0.00107579,0.00106438,0.00143512
0.00108826,0.00107426,0.00144847
0.00110088,0.00108422,0.00146194
0.00111364,0.00109427,0.00147553
0.00112655,0.0011044,0.00148924
0.0011396,0.00111462,0.00150306
0.00115281,0.00112493,0.00151701
0.00116618,0.00113533,0.00153108
0.00117969,0.00114582,0.00154527
0.00119337,0.0011564,0.00155958
0.0012072,0.00116708,0.00157402
0.00122119,0.00117784,0.00158858
0.00123535,0.0011887,0.00160327
0.00124967,0.00119965,0.00161809
0.00126415,0.00121069,0.00163303
0.0012788,0.00122183,0.00164811
0.00129363,0.00123307,0.00166331
0.00130862,0.0012444,0.00167864
0.00132379,0.00125583,0.00169411
0.00133913,0.00126735,0.00170971
0.00135466,0.00127898,0.00172544
0.00137036,0.0012907,0.00174131
0.00138624,0.00130253,0.00175732
0.00140231,0.00131445,0.00177346
0.00141856,0.00132648,0.00178974
0.00143501,0.00133861,0.00180616
0.00145164,0.00135084,0.00182272
0.00146847,0.00136317,0.00183942
0.00148549,0.00137561,0.00185626
0.00150271,0.00138816,0.00187324
0.00152012,0.00140081,0.00189037
0.00153774,0.00141356,0.00190765
0.00155557,0.00142643,0.00192507
0.0015736,0.0014394,0.00194264
0.00159184,0.00145248,0.00196036
0.00161029,0.00146568,0.00197823
0.00162895,0.00147898,0.00199625
0.00164784,0.00149239,0.00201442
0.00166694,0.00150592,0.00203274
0.00168626,0.00151956,0.00205122
0.0017058,0.00153331,0.00206985
0.00172558,0.00154718,0.00208864
0.00174558,0.00156117,0.00210759
0.00176581,0.00157527,0.0021267
0.00178628,0.00158949,0.00214596
0.00180698,0.00160382,0.00216539
0.00182793,0.00161828,0.00218498
0.00184912,0.00163285,0.00220473
0.00187055,0.00164754,0.00222465
0.00189223,0.00166236,0.00224473
0.00191416,0.0016773,0.00226498
0.00193635,0.00169236,0.0022854
0.0019588,0.00170754,0.00230598
0.0019815,0.00172285,0.00232674
0.00200447,0.00173829,0.00234766
0.0020277,0.00175385,0.00236876
0.0020512,0.00176954,0.00239004
0.00207498,0.00178535,0.00241149
0.00209903,0.0018013,0.00243311
