r2,N_ipsat
1e-08,1.69414e-10
4.4116e-06,1.13554e-07
1.68162e-05,4.79368e-07
3.72239e-05,1.12959e-06
6.56346e-05,2.08449e-06
0.000102048,3.36772e-06
0.000146465,4.99387e-06
0.000198885,6.97311e-06
0.000259308,9.31624e-06
0.000327734,1.20329e-05
0.000404163,1.5132e-05
0.000488595,1.86216e-05
0.00058103,2.2509e-05
0.000681468,2.68014e-05
0.000789909,3.15053e-05
0.000906353,3.66268e-05
0.0010308,4.21718e-05
0.00116325,4.81457e-05
0.0013037,5.45539e-05
0.00145216,6.14014e-05
0.00160862,6.86929e-05
0.00177308,7.6433e-05
0.00194555,8.46262e-05
0.00212602,9.32767e-05
0.00231449,0.000102389
0.00251096,0.000111966
0.00271544,0.000122012
0.00292792,0.000132532
0.0031484,0.000143527
0.00337689,0.000155003
0.00361338,0.000166961
0.00385787,0.000179407
0.00411037,0.000192341
0.00437087,0.000205769
0.00463937,0.000219692
0.00491588,0.000234113
0.00520038,0.000249036
0.00549289,0.000264463
0.00579341,0.000280397
0.00610193,0.00029684
0.00641845,0.000313795
0.00674297,0.000331264
0.0070755,0.000349251
0.00741602,0.000367756
0.00776456,0.000386783
0.00812109,0.000406334
0.00848563,0.000426411
0.00885817,0.000447016
0.00923872,0.000468151
0.00962726,0.000489818
0.0100238,0.00051202
0.0104284,0.000534759
0.0108409,0.000558035
0.0112615,0.000581852
0.01169,0.00060621
0.0121266,0.000631113
0.0125712,0.000656561
0.0130238,0.000682556
0.0134843,0.000709101
0.0139529,0.000736196
0.0144295,0.000763844
0.0149141,0.000792046
0.0154067,0.000820803
0.0159072,0.000850117
0.0164158,0.00087999
0.0169324,0.000910423
0.017457,0.000941418
0.0179896,0.000972975
0.0185302,0.0010051
0.0190789,0.00103779
0.0196355,0.00107104
0.0202001,0.00110486
0.0207727,0.00113926
0.0213533,0.00117422
0.0219419,0.00120976
0.0225386,0.00124587
0.0231432,0.00128255
0.0237558,0.00131981
0.0243765,0.00135765
0.0250051,0.00139606
0.0256417,0.00143506
0.0262864,0.00147463
0.026939,0.00151479
0.0275997,0.00155553
0.0282683,0.00159685
0.028945,0.00163876
0.0296297,0.00168125
0.0303223,0.00172433
0.031023,0.00176799
0.0317317,0.00181224
0.0324483,0.00185709
0.033173,0.00190252
0.0339057,0.00194854
0.0346464,0.00199516
0.0353951,0.00204237
0.0361517,0.00209017
0.0369164,0.00213857
0.0376891,0.00218756
0.0384698,0.00223714
0.0392585,0.00228733
0.0400552,0.00233811
0.0408599,0.00238949
0.0416726,0.00244146
0.0424933,0.00249404
0.0433221,0.00254722
0.0441588,0.00260099
0.0450035,0.00265537
0.0458562,0.00271035
0.046717,0.00276594
0.0475857,0.00282213
0.0484624,0.00287892
0.0493472,0.00293631
0.0502399,0.00299431
0.0511406,0.00305292
0.0520494,0.00311213
0.0529661,0.00317195
0.0538909,0.00323237
0.0548236,0.0032934
0.0557644,0.00335505
0.0567132,0.0034173
0.0576699,0.00348015
0.0586347,0.00354362
0.0596074,0.0036077
0.0605882,0.00367239
0.061577,0.00373769
0.0625738,0.0038036
0.0635786,0.00387012
0.0645913,0.00393725
0.0656121,0.004005
0.0666409,0.00407336
0.0676777,0.00414233
0.0687225,0.00421191
0.0697753,0.00428211
0.0708361,0.00435292
0.0719049,0.00442435
0.0729817,0.00449639
0.0740665,0.00456904
0.0751594,0.00464232
0.0762602,0.0047162
0.077369,0.0047907
0.0784858,0.00486582
0.0796106,0.00494155
0.0807435,0.0050179
0.0818843,0.00509487
0.0830331,0.00517245
0.08419,0.00525065
0.0853548,0.00532947
0.0865277,0.0054089
0.0877085,0.00548896
0.0888974,0.00556963
0.0900942,0.00565093
0.0912991,0.00573285
0.0925119,0.00581538
0.0937328,0.00589853
0.0949617,0.00598229
0.0961986,0.00606665
0.0974434,0.00615162
0.0986963,0.00623726
0.0999572,0.00632352
0.101226,0.00641037
0.102503,0.00649779
0.103788,0.00658578
0.105081,0.00667433
0.106382,0.00676342
0.107691,0.00685372
0.109007,0.00694458
0.110332,0.00703592
0.111665,0.00712781
0.113006,0.00722025
0.114355,0.00731327
0.115712,0.00740686
0.117077,0.00750105
0.11845,0.00759583
0.119831,0.00769126
0.12122,0.0077874
0.122617,0.00788417
0.124022,0.00798155
0.125434,0.00807956
0.126855,0.00817818
0.128284,0.00827742
0.129721,0.00837729
0.131166,0.00847777
0.132619,0.00857887
0.13408,0.00868059
0.135549,0.00878293
0.137026,0.00888589
0.138511,0.00898947
0.140004,0.00909366
0.141505,0.00919848
0.143014,0.00930391
0.144531,0.00940997
0.146056,0.00951664
0.147589,0.00962393
0.14913,0.00973183
0.150679,0.00984036
0.152236,0.0099495
0.153801,0.0100593
0.155374,0.0101696
0.156955,0.0102806
0.158544,0.0103922
0.160141,0.0105045
0.161746,0.0106173
0.163359,0.0107308
0.16498,0.0108449
0.166609,0.0109596
0.168246,0.0110749
0.169891,0.0111908
0.171544,0.0113073
0.173205,0.0114245
0.174874,0.0115423
0.176551,0.0116606
0.178236,0.0117796
0.179929,0.0118993
0.18163,0.0120195
0.183339,0.0121403
0.185056,0.0122618
0.186781,0.0123838
0.188514,0.0125065
0.190255,0.0126298
0.192005,0.0127537
0.193762,0.0128782
0.195527,0.0130034
