r2,N_p_DGLAP
0.533693,0.905212
0.555931,0.922428
0.579095,0.93759
0.603224,0.95071
0.628359,0.961845
0.654542,0.971101
0.681815,0.978623
0.710225,0.984587
0.739818,0.989193
0.770645,0.992647
0.802756,0.995159
0.836205,0.996924
0.871047,0.998119
0.907342,0.998897
0.945149,0.999382
0.984531,0.999671
1.02555,0.999833
1.06829,0.999921
1.1128,0.999964
1.15917,0.999985
1.20747,0.999994
1.25778,0.999998
1.31019,0.999999
1.36478,1
1.42165,1
1.48088,1
1.54259,1
1.60687,1
1.67382,1
1.74356,1
1.81622,1
1.89189,1
1.97072,1
2.05284,1
2.13838,1
2.22748,1
2.32029,1
2.41697,1
2.51768,1
2.62259,1
2.73187,1
2.8457,1
2.96427,1
3.08778,1
3.21644,1
3.35047,1
3.49007,1
3.6355,1
3.78698,1
3.94477,1
