r,N_ipsat
0.104182,0.0189574
0.104576,0.0191091
0.104971,0.0192613
0.105365,0.0194142
0.10576,0.0195676
0.106154,0.0197217
0.106549,0.0198763
0.106943,0.0200316
0.107338,0.0201874
0.107732,0.0203438
0.108127,0.0205008
0.108522,0.0206584
0.108916,0.0208166
0.109311,0.0209753
0.109705,0.0211347
0.1101,0.0212946
0.110494,0.0214552
0.110889,0.0216163
0.111283,0.021778
0.111678,0.0219403
0.112073,0.0221032
0.112467,0.0222666
0.112862,0.0224307
0.113256,0.0225953
0.113651,0.0227605
0.114045,0.0229263
0.11444,0.0230927
0.114834,0.0232596
0.115229,0.0234272
0.115624,0.0235953
0.116018,0.023764
0.116413,0.0239333
0.116807,0.0241031
0.117202,0.0242736
0.117596,0.0244446
0.117991,0.0246162
0.118385,0.0247883
0.11878,0.0249611
0.119175,0.0251344
0.119569,0.0253083
0.119964,0.0254828
0.120358,0.0256578
0.120753,0.0258334
0.121147,0.0260096
0.121542,0.0261864
0.121936,0.0263637
0.122331,0.0265416
0.122725,0.0267201
0.12312,0.0268991
0.123515,0.0270787
0.123909,0.0272589
0.124304,0.0274397
0.124698,0.027621
0.125093,0.0278029
0.125487,0.0279853
0.125882,0.0281683
0.126276,0.0283519
0.126671,0.0285361
0.127066,0.0287208
0.12746,0.0289061
0.127855,0.0290919
0.128249,0.0292783
0.128644,0.0294653
0.129038,0.0296528
0.129433,0.0298409
0.129827,0.0300295
0.130222,0.0302187
0.130617,0.0304085
0.131011,0.0305988
0.131406,0.0307897
0.1318,0.0309811
0.132195,0.0311731
0.132589,0.0313657
0.132984,0.0315588
0.133378,0.0317524
0.133773,0.0319466
0.134168,0.0321414
0.134562,0.0323367
0.134957,0.0325326
0.135351,0.032729
0.135746,0.032926
0.13614,0.0331235
0.136535,0.0333216
0.136929,0.0335202
0.137324,0.0337194
0.137718,0.0339191
0.138113,0.0341194
0.138508,0.0343202
0.138902,0.0345216
0.139297,0.0347235
0.139691,0.0349259
0.140086,0.0351289
0.14048,0.0353325
0.140875,0.0355366
0.141269,0.0357412
0.141664,0.0359464
0.142059,0.0361521
0.142453,0.0363583
0.142848,0.0365651
0.143242,0.0367724
0.143637,0.0369803
0.144031,0.0371887
0.144426,0.0373977
0.14482,0.0376072
0.145215,0.0378172
0.14561,0.0380277
0.146004,0.0382388
0.146399,0.0384504
0.146793,0.0386626
0.147188,0.0388753
0.147582,0.0390885
0.147977,0.0393023
0.148371,0.0395166
0.148766,0.0397314
0.14916,0.0399467
0.149555,0.0401626
0.14995,0.040379
0.150344,0.040596
0.150739,0.0408134
0.151133,0.0410314
0.151528,0.0412499
0.151922,0.041469
0.152317,0.0416886
0.152711,0.0419086
0.153106,0.0421293
0.153501,0.0423504
0.153895,0.0425721
0.15429,0.0427943
0.154684,0.043017
0.155079,0.0432402
0.155473,0.0434639
0.155868,0.0436882
0.156262,0.043913
0.156657,0.0441383
0.157052,0.0443641
0.157446,0.0445904
0.157841,0.0448173
0.158235,0.0450447
0.15863,0.0452726
0.159024,0.045501
0.159419,0.0457299
0.159813,0.0459593
0.160208,0.0461892
0.160603,0.0464197
0.160997,0.0466506
0.161392,0.0468821
0.161786,0.0471141
0.162181,0.0473466
0.162575,0.0475796
0.16297,0.0478131
0.163364,0.0480471
0.163759,0.0482816
0.164153,0.0485167
0.164548,0.0487522
0.164943,0.0489882
0.165337,0.0492248
0.165732,0.0494618
0.166126,0.0496994
0.166521,0.0499374
0.166915,0.050176
0.16731,0.050415
0.167704,0.0506546
0.168099,0.0508947
0.168494,0.0511352
0.168888,0.0513763
0.169283,0.0516178
0.169677,0.0518599
0.170072,0.0521024
0.170466,0.0523454
0.170861,0.052589
0.171255,0.052833
0.17165,0.0530775
0.172045,0.0533225
0.172439,0.0535681
0.172834,0.0538141
0.173228,0.0540605
0.173623,0.0543075
0.174017,0.054555
0.174412,0.054803
0.174806,0.0550514
0.175201,0.0553004
0.175595,0.0555498
0.17599,0.0557997
0.176385,0.0560501
0.176779,0.056301
0.177174,0.0565524
0.177568,0.0568042
0.177963,0.0570566
0.178357,0.0573094
0.178752,0.0575627
0.179146,0.0578165
0.179541,0.0580708
0.179936,0.0583255
0.18033,0.0585808
0.180725,0.0588365
0.181119,0.0590927
0.181514,0.0593493
0.181908,0.0596065
0.182303,0.0598641
0.182697,0.0601222
0.183092,0.0603808
0.183487,0.0606398
0.183881,0.0608993
0.184276,0.0611593
0.18467,0.0614198
0.185065,0.0616807
0.185459,0.0619422
0.185854,0.062204
0.186248,0.0624664
0.186643,0.0627292
0.187038,0.0629925
0.187432,0.0632563
0.187827,0.0635205
0.188221,0.0637852
0.188616,0.0640504
0.18901,0.064316
0.189405,0.0645821
0.189799,0.0648487
0.190194,0.0651157
0.190588,0.0653832
0.190983,0.0656512
0.191378,0.0659196
0.191772,0.0661885
0.192167,0.0664578
0.192561,0.0667276
0.192956,0.0669979
0.19335,0.0672686
0.193745,0.0675398
0.194139,0.0678114
0.194534,0.0680835
0.194929,0.068356
0.195323,0.0686291
0.195718,0.0689025
0.196112,0.0691764
0.196507,0.0694508
0.196901,0.0697256
0.197296,0.0700009
0.19769,0.0702766
0.198085,0.0705528
0.19848,0.0708295
0.198874,0.0711065
0.199269,0.0713841
0.199663,0.0716621
0.200058,0.0719405
0.200452,0.0722194
0.200847,0.0724987
0.201241,0.0727785
0.201636,0.0730587
0.20203,0.0733394
0.202425,0.0736205
0.20282,0.073902
0.203214,0.074184
0.203609,0.0744665
0.204003,0.0747494
0.204398,0.0750327
0.204792,0.0753164
0.205187,0.0756007
0.205581,0.0758853
0.205976,0.0761704
0.206371,0.0764559
0.206765,0.0767419
0.20716,0.0770283
0.207554,0.0773151
0.207949,0.0776024
0.208343,0.0778901
0.208738,0.0781783
0.209132,0.0784668
0.209527,0.0787559
0.209922,0.0790453
0.210316,0.0793352
0.210711,0.0796255
0.211105,0.0799163
0.2115,0.0802074
0.211894,0.080499
0.212289,0.0807911
0.212683,0.0810835
0.213078,0.0813764
0.213473,0.0816697
0.213867,0.0819635
0.214262,0.0822577
0.214656,0.0825523
0.215051,0.0828473
0.215445,0.0831427
0.21584,0.0834386
0.216234,0.0837349
0.216629,0.0840316
0.217023,0.0843288
0.217418,0.0846264
0.217813,0.0849243
0.218207,0.0852227
0.218602,0.0855216
0.218996,0.0858208
0.219391,0.0861205
0.219785,0.0864206
0.22018,0.0867211
0.220574,0.087022
0.220969,0.0873233
0.221364,0.0876251
0.221758,0.0879272
0.222153,0.0882298
0.222547,0.0885328
0.222942,0.0888362
0.223336,0.08914
0.223731,0.0894443
0.224125,0.0897489
0.22452,0.090054
0.224915,0.0903594
0.225309,0.0906653
0.225704,0.0909716
0.226098,0.0912783
0.226493,0.0915854
0.226887,0.0918929
0.227282,0.0922008
0.227676,0.0925091
0.228071,0.0928178
0.228465,0.0931269
0.22886,0.0934365
0.229255,0.0937464
0.229649,0.0940567
0.230044,0.0943675
0.230438,0.0946786
0.230833,0.0949902
0.231227,0.0953021
0.231622,0.0956145
0.232016,0.0959272
0.232411,0.0962403
0.232806,0.0965539
0.2332,0.0968678
0.233595,0.0971822
0.233989,0.0974969
0.234384,0.097812
0.234778,0.0981275
0.235173,0.0984435
0.235567,0.0987598
0.235962,0.0990765
0.236357,0.0993936
0.236751,0.0997111
0.237146,0.100029
0.23754,0.100347
0.237935,0.100666
0.238329,0.100985
0.238724,0.101304
0.239118,0.101624
0.239513,0.101944
0.239908,0.102265
0.240302,0.102586
0.240697,0.102907
0.241091,0.103229
0.241486,0.103551
0.24188,0.103874
0.242275,0.104197
0.242669,0.10452
0.243064,0.104844
0.243458,0.105168
0.243853,0.105492
0.244248,0.105817
0.244642,0.106142
0.245037,0.106468
0.245431,0.106794
0.245826,0.10712
0.24622,0.107447
0.246615,0.107774
0.247009,0.108102
0.247404,0.108429
0.247799,0.108758
0.248193,0.109086
0.248588,0.109415
0.248982,0.109745
0.249377,0.110074
0.249771,0.110405
0.250166,0.110735
0.25056,0.111066
0.250955,0.111397
0.25135,0.111729
0.251744,0.112061
0.252139,0.112393
0.252533,0.112726
0.252928,0.113059
0.253322,0.113392
0.253717,0.113726
0.254111,0.11406
0.254506,0.114395
0.2549,0.11473
0.255295,0.115065
0.25569,0.1154
0.256084,0.115736
0.256479,0.116073
0.256873,0.11641
0.257268,0.116747
0.257662,0.117084
0.258057,0.117422
0.258451,0.11776
0.258846,0.118099
0.259241,0.118437
0.259635,0.118777
0.26003,0.119116
0.260424,0.119456
0.260819,0.119797
0.261213,0.120137
0.261608,0.120478
0.262002,0.12082
0.262397,0.121161
0.262792,0.121503
0.263186,0.121846
0.263581,0.122189
0.263975,0.122532
0.26437,0.122875
0.264764,0.123219
0.265159,0.123563
0.265553,0.123908
0.265948,0.124253
0.266343,0.124598
0.266737,0.124944
0.267132,0.12529
0.267526,0.125636
0.267921,0.125983
0.268315,0.12633
0.26871,0.126677
0.269104,0.127025
0.269499,0.127373
0.269893,0.127721
0.270288,0.12807
0.270683,0.128419
0.271077,0.128768
0.271472,0.129118
0.271866,0.129468
0.272261,0.129818
0.272655,0.130169
0.27305,0.13052
0.273444,0.130871
0.273839,0.131223
0.274234,0.131575
0.274628,0.131928
0.275023,0.132281
0.275417,0.132634
0.275812,0.132987
0.276206,0.133341
0.276601,0.133695
0.276995,0.134049
0.27739,0.134404
0.277785,0.134759
0.278179,0.135115
0.278574,0.13547
0.278968,0.135827
0.279363,0.136183
0.279757,0.13654
0.280152,0.136897
0.280546,0.137254
0.280941,0.137612
0.281336,0.13797
0.28173,0.138328
0.282125,0.138687
0.282519,0.139046
0.282914,0.139406
0.283308,0.139765
0.283703,0.140125
0.284097,0.140486
0.284492,0.140846
0.284886,0.141207
0.285281,0.141569
0.285676,0.14193
0.28607,0.142292
0.286465,0.142654
0.286859,0.143017
0.287254,0.14338
0.287648,0.143743
0.288043,0.144107
0.288437,0.14447
0.288832,0.144835
0.289227,0.145199
0.289621,0.145564
0.290016,0.145929
0.29041,0.146294
0.290805,0.14666
0.291199,0.147026
0.291594,0.147393
0.291988,0.147759
0.292383,0.148126
0.292778,0.148494
0.293172,0.148861
0.293567,0.149229
0.293961,0.149597
0.294356,0.149966
0.29475,0.150335
0.295145,0.150704
0.295539,0.151073
0.295934,0.151443
0.296328,0.151813
0.296723,0.152183
0.297118,0.152554
0.297512,0.152925
0.297907,0.153296
0.298301,0.153668
0.298696,0.15404
0.29909,0.154412
0.299485,0.154784
0.299879,0.155157
0.300274,0.15553
0.300669,0.155904
0.301063,0.156277
