r,N_ipsat
1.97239e-05,4.38516e-09
0.000414276,2.12336e-06
0.000808828,8.20057e-06
0.00120338,1.82534e-05
0.00159793,3.22717e-05
0.00199249,5.02413e-05
0.00238704,7.21348e-05
0.00278159,9.79243e-05
0.00317614,0.000127583
0.00357069,0.000161083
0.00396525,0.000198398
0.0043598,0.000239501
0.00475435,0.000284365
0.0051489,0.000332962
0.00554346,0.000385268
0.00593801,0.000441256
0.00633256,0.0005009
0.00672711,0.000564175
0.00712166,0.000631055
0.00751622,0.000701517
0.00791077,0.000775535
0.00830532,0.000853086
0.00869987,0.000934144
0.00909443,0.00101869
0.00948898,0.00110669
0.00988353,0.00119813
0.0102781,0.00129299
0.0106726,0.00139124
0.0110672,0.00149286
0.0114617,0.00159782
0.0118563,0.00170611
0.0122508,0.00181771
0.0126454,0.00193258
0.0130399,0.00205071
0.0134345,0.00217209
0.0138291,0.00229668
0.0142236,0.00242446
0.0146182,0.00255542
0.0150127,0.00268954
0.0154073,0.00282678
0.0158018,0.00296715
0.0161964,0.0031106
0.0165909,0.00325713
0.0169855,0.00340671
0.01738,0.00355933
0.0177746,0.00371495
0.0181691,0.00387358
0.0185637,0.00403517
0.0189582,0.00419973
0.0193528,0.00436721
0.0197473,0.00453762
0.0201419,0.00471093
0.0205364,0.00488711
0.020931,0.00506615
0.0213255,0.00524804
0.0217201,0.00543275
0.0221147,0.00562027
0.0225092,0.00581058
0.0229038,0.00600365
0.0232983,0.00619948
0.0236929,0.00639804
0.0240874,0.00659931
0.024482,0.00680329
0.0248765,0.00700994
0.0252711,0.00721926
0.0256656,0.00743123
0.0260602,0.00764582
0.0264547,0.00786302
0.0268493,0.00808282
0.0272438,0.0083052
0.0276384,0.00853014
0.0280329,0.00875762
0.0284275,0.00898763
0.028822,0.00922015
0.0292166,0.00945516
0.0296111,0.00969266
0.0300057,0.00993261
0.0304002,0.010175
0.0307948,0.0104198
0.0311894,0.0106671
0.0315839,0.0109167
0.0319785,0.0111687
0.032373,0.0114231
0.0327676,0.0116799
0.0331621,0.0119389
0.0335567,0.0122003
0.0339512,0.012464
0.0343458,0.01273
0.0347403,0.0129983
0.0351349,0.0132688
0.0355294,0.0135415
0.035924,0.0138165
0.0363185,0.0140937
0.0367131,0.0143731
0.0371076,0.0146547
0.0375022,0.0149384
0.0378967,0.0152243
0.0382913,0.0155123
0.0386858,0.0158025
0.0390804,0.0160948
0.039475,0.0163891
0.0398695,0.0166856
0.0402641,0.0169841
0.0406586,0.0172847
0.0410532,0.0175873
0.0414477,0.0178919
0.0418423,0.0181986
0.0422368,0.0185072
0.0426314,0.0188178
0.0430259,0.0191304
0.0434205,0.019445
0.043815,0.0197615
0.0442096,0.0200799
0.0446041,0.0204002
0.0449987,0.0207225
0.0453932,0.0210466
0.0457878,0.0213726
0.0461823,0.0217005
0.0465769,0.0220302
0.0469714,0.0223618
0.047366,0.0226952
0.0477606,0.0230304
0.0481551,0.0233674
0.0485497,0.0237061
0.0489442,0.0240467
0.0493388,0.024389
0.0497333,0.0247331
0.0501279,0.0250789
0.0505224,0.0254264
0.050917,0.0257757
0.0513115,0.0261266
0.0517061,0.0264792
0.0521006,0.0268335
0.0524952,0.0271895
0.0528897,0.0275471
0.0532843,0.0279064
0.0536788,0.0282672
0.0540734,0.0286297
0.0544679,0.0289938
0.0548625,0.0293595
0.055257,0.0297268
0.0556516,0.0300956
