r2,N_p_DGLAP
1.97239e-05,1.95345e-09
2.05457e-05,2.12494e-09
2.14018e-05,2.31147e-09
2.22936e-05,2.51437e-09
2.32225e-05,2.73508e-09
2.41901e-05,2.97516e-09
2.51981e-05,3.23631e-09
2.6248e-05,3.52036e-09
2.73417e-05,3.82935e-09
2.8481e-05,4.16544e-09
2.96677e-05,4.53103e-09
3.09039e-05,4.92868e-09
3.21916e-05,5.36123e-09
3.35329e-05,5.83172e-09
3.49302e-05,6.34348e-09
3.63856e-05,6.90013e-09
3.79017e-05,7.50561e-09
3.9481e-05,8.16419e-09
4.11261e-05,8.88053e-09
4.28397e-05,9.6597e-09
4.46248e-05,1.05072e-08
4.64842e-05,1.1429e-08
4.84211e-05,1.24316e-08
5.04387e-05,1.35222e-08
5.25403e-05,1.47084e-08
5.47296e-05,1.59985e-08
5.701e-05,1.74017e-08
5.93855e-05,1.8928e-08
6.186e-05,2.0588e-08
6.44375e-05,2.23935e-08
6.71225e-05,2.43573e-08
6.99193e-05,2.64931e-08
7.28327e-05,2.88161e-08
7.58675e-05,3.13426e-08
7.90287e-05,3.40904e-08
8.23216e-05,3.7079e-08
8.57518e-05,4.03294e-08
8.93249e-05,4.38644e-08
9.30468e-05,4.7709e-08
9.69239e-05,5.18903e-08
0.000100962,5.64377e-08
0.000105169,6.13833e-08
0.000109551,6.67618e-08
0.000114116,7.26111e-08
0.000118871,7.89723e-08
0.000123824,8.58903e-08
0.000128984,9.34136e-08
0.000134358,1.01595e-07
0.000139957,1.10493e-07
0.000145788,1.20168e-07
0.000151863,1.3069e-07
0.000158191,1.42132e-07
0.000164782,1.54575e-07
0.000171648,1.68105e-07
0.0001788,1.82818e-07
0.000186251,1.98817e-07
0.000194011,2.16214e-07
0.000202095,2.35132e-07
0.000210516,2.55702e-07
0.000219288,2.78069e-07
0.000228425,3.02389e-07
0.000237943,3.28833e-07
0.000247858,3.57586e-07
0.000258185,3.88848e-07
0.000268943,4.22839e-07
0.00028015,4.59796e-07
0.000291823,4.99978e-07
0.000303982,5.43664e-07
0.000316649,5.9116e-07
0.000329843,6.42798e-07
0.000343586,6.98937e-07
0.000357903,7.59968e-07
0.000372816,8.26318e-07
0.00038835,8.98448e-07
0.000404532,9.7686e-07
0.000421388,1.0621e-06
0.000438946,1.15476e-06
0.000457236,1.25549e-06
0.000476288,1.36498e-06
0.000496134,1.48399e-06
0.000516806,1.61336e-06
0.00053834,1.75397e-06
0.000560772,1.9068e-06
0.000584138,2.07294e-06
0.000608478,2.25342e-06
0.000633831,2.44913e-06
0.000660242,2.66174e-06
0.000687753,2.89273e-06
0.00071641,3.14369e-06
0.000746261,3.41632e-06
0.000777356,3.71248e-06
0.000809746,4.03419e-06
0.000843487,4.38365e-06
0.000878633,4.76323e-06
0.000915243,5.17551e-06
0.000953379,5.62329e-06
0.000993105,6.1096e-06
0.00103448,6.63773e-06
0.00107759,7.21126e-06
0.00112249,7.83406e-06
0.00116926,8.51032e-06
0.00121798,9.24461e-06
0.00126873,1.00418e-05
0.0013216,1.09074e-05
0.00137667,1.1847e-05
0.00143403,1.28671e-05
0.00149378,1.39743e-05
0.00155602,1.51762e-05
0.00162086,1.64806e-05
0.0016884,1.78963e-05
0.00175875,1.94327e-05
0.00183203,2.10999e-05
0.00190837,2.29089e-05
0.00198789,2.48717e-05
0.00207072,2.70012e-05
0.002157,2.93114e-05
0.00224688,3.18174e-05
0.0023405,3.45356e-05
0.00243802,3.74837e-05
0.00253961,4.06809e-05
0.00264543,4.4148e-05
0.00275566,4.79073e-05
0.00287048,5.19833e-05
0.00299008,5.6402e-05
0.00311467,6.11919e-05
0.00324445,6.63836e-05
0.00337964,7.20103e-05
0.00352047,7.81078e-05
0.00366716,8.47147e-05
0.00381996,9.18727e-05
0.00397913,9.9627e-05
0.00414493,0.000108026
0.00431764,0.000117123
0.00449754,0.000126973
0.00468494,0.000137639
0.00488016,0.000149243
0.0050835,0.00016182
0.00529532,0.000175439
0.00551596,0.000190184
0.0057458,0.000206146
0.00598521,0.000223423
0.0062346,0.00024212
0.00649439,0.00026235
0.00676499,0.000284236
0.00704687,0.000307909
0.0073405,0.000333509
0.00764636,0.000361189
0.00796497,0.000391112
0.00829685,0.000423452
0.00864256,0.000458398
0.00900268,0.000496151
0.0093778,0.000536927
0.00976855,0.000580959
0.0101756,0.000628495
0.0105996,0.000679799
0.0110412,0.000735157
0.0115013,0.000794872
0.0119805,0.00085927
0.0124797,0.000928696
0.0129997,0.00100352
0.0135414,0.00108414
0.0141056,0.00117097
0.0146934,0.00126446
0.0153056,0.00136509
0.0159434,0.00147336
0.0166077,0.0015898
0.0172997,0.00171499
0.0180205,0.00184953
0.0187714,0.00199405
0.0195536,0.00214923
0.0203683,0.00231578
0.021217,0.00249446
0.0221011,0.00268604
0.023022,0.00289082
0.0239813,0.003108
0.0249805,0.00334017
0.0260214,0.00358835
0.0271057,0.00385342
0.0282351,0.00413635
0.0294116,0.00443816
0.0306371,0.00475991
0.0319137,0.0051027
0.0332434,0.00546766
0.0346286,0.00585598
0.0360715,0.00626887
0.0375745,0.00670761
0.0391402,0.00717352
0.0407711,0.00766796
0.0424699,0.00819238
0.0442395,0.00874826
0.0460829,0.00933719
0.048003,0.00996083
0.0500032,0.010621
0.0520867,0.0113195
0.0542571,0.0120584
