W,sigma_GLC,sigma_BG
25,25.8329,25.2672
26.2387,27.1854,26.6306
27.5387,28.5662,28.0265
28.9032,29.9765,29.4564
30.3352,31.4174,30.9216
31.8382,21.1495,20.8494
33.4157,22.1182,21.8402
35.0714,23.1092,22.857
36.8091,24.1237,23.9008
38.6328,25.1625,24.973
40.547,26.2268,26.0747
42.5559,27.3176,27.2072
44.6644,28.4359,28.3719
46.8774,29.5827,29.57
49.2001,30.7593,30.803
51.6378,31.9668,32.0721
54.1963,33.2061,33.3788
56.8815,34.4785,34.7246
59.6998,35.7851,36.1109
62.6577,37.127,37.5391
65.7622,38.5054,39.0107
69.0206,39.9214,40.5273
72.4403,41.3762,42.0905
76.0295,42.8709,43.7017
79.7965,44.4067,45.3625
83.7502,45.9847,47.0746
87.8997,47.6062,48.8395
92.2549,49.2722,50.6589
96.8258,50.9839,52.5344
101.623,52.7426,54.4676
106.658,54.5492,56.4604
111.943,56.4051,58.5143
117.489,58.3113,60.631
123.311,60.2689,62.8124
129.42,62.2793,65.0601
135.833,64.3433,67.3758
142.563,66.4623,69.7614
149.626,68.6372,72.2187
157.04,70.8693,74.7493
164.821,73.1596,77.3551
172.987,75.5092,80.0379
181.558,77.9191,82.7995
190.553,80.3905,85.6417
199.995,82.9244,88.5662
209.904,85.5218,91.5751
220.304,88.1838,94.6699
231.219,90.9112,97.8526
242.676,93.7052,101.125
254.699,96.5666,104.489
267.319,99.4964,107.946
280.564,102.496,111.498
294.465,105.565,115.147
309.055,108.705,118.894
324.367,111.917,122.742
340.439,115.202,126.691
357.306,118.561,130.745
375.01,121.993,134.903
393.59,125.5,139.169
413.091,129.083,143.544
433.559,132.742,148.028
455.04,136.478,152.625
477.586,140.291,157.335
501.249,144.182,162.159
526.084,148.151,167.1
552.15,152.199,172.158
579.507,156.326,177.336
608.22,160.533,182.633
638.356,164.819,188.053
669.984,169.185,193.595
703.18,173.632,199.26
738.02,178.158,205.051
774.587,182.765,210.967
812.965,187.453,217.011
853.245,192.221,223.182
895.52,197.069,229.481
939.891,201.998,235.91
986.459,207.006,242.468
1035.34,212.094,249.157
1086.63,217.262,255.977
1140.47,222.509,262.928
1196.98,227.835,270.011
1256.29,233.239,277.226
1318.53,238.721,284.573
1383.86,244.28,292.051
1452.43,249.916,299.662
1524.39,255.627,307.405
1599.92,261.414,315.279
1679.19,267.275,323.284
1762.39,273.209,331.42
1849.71,279.216,339.687
1941.35,285.294,348.083
2037.54,291.443,356.608
2138.5,297.661,365.262
2244.45,303.947,374.042
2355.66,310.3,382.949
2472.37,316.719,391.98
2594.87,323.203,401.135
2723.44,329.749,410.413
2858.38,336.358,419.811
3000,343.026,429.329
