r2,N_ipsat
0.30493,0.0902135
0.307143,0.0907107
0.309365,0.0912083
0.311594,0.0917064
0.313831,0.092205
0.316076,0.092704
0.31833,0.0932035
0.320591,0.0937035
0.32286,0.0942039
0.325138,0.0947047
0.327423,0.095206
0.329716,0.0957077
0.332017,0.0962098
0.334327,0.0967124
0.336644,0.0972154
0.338969,0.0977188
0.341302,0.0982226
0.343644,0.0987268
0.345993,0.0992314
0.34835,0.0997364
0.350716,0.100242
0.353089,0.100748
0.35547,0.101254
0.35786,0.10176
0.360257,0.102267
0.362662,0.102775
0.365076,0.103282
0.367497,0.10379
0.369926,0.104299
0.372363,0.104808
0.374809,0.105317
0.377262,0.105826
0.379723,0.106336
0.382193,0.106846
0.38467,0.107357
0.387155,0.107868
0.389649,0.108379
0.39215,0.10889
0.39466,0.109402
0.397177,0.109915
0.399702,0.110427
0.402236,0.11094
0.404777,0.111453
0.407326,0.111966
0.409884,0.11248
0.412449,0.112994
0.415022,0.113508
0.417604,0.114023
0.420193,0.114538
0.422791,0.115053
0.425396,0.115569
0.428009,0.116084
0.430631,0.1166
0.43326,0.117117
0.435898,0.117633
0.438543,0.11815
0.441196,0.118667
0.443858,0.119185
0.446527,0.119702
0.449205,0.12022
0.45189,0.120738
0.454584,0.121257
0.457285,0.121775
0.459994,0.122294
0.462712,0.122813
0.465437,0.123333
0.468171,0.123852
0.470912,0.124372
0.473662,0.124892
0.476419,0.125412
0.479184,0.125933
0.481958,0.126454
0.484739,0.126974
0.487529,0.127496
0.490326,0.128017
0.493132,0.128539
0.495945,0.12906
0.498767,0.129582
0.501596,0.130105
0.504434,0.130627
0.507279,0.13115
0.510133,0.131672
0.512994,0.132195
0.515864,0.132718
0.518741,0.133242
0.521627,0.133765
0.52452,0.134289
0.527422,0.134813
0.530331,0.135337
0.533249,0.135861
0.536174,0.136386
0.539108,0.13691
0.542049,0.137435
0.544999,0.13796
0.547956,0.138485
0.550922,0.139011
0.553895,0.139536
0.556877,0.140062
0.559866,0.140587
0.562864,0.141113
0.565869,0.141639
0.568883,0.142165
0.571904,0.142692
0.574934,0.143218
0.577972,0.143745
0.581017,0.144272
0.584071,0.144799
0.587132,0.145326
0.590202,0.145853
0.593279,0.14638
0.596365,0.146908
0.599459,0.147435
0.60256,0.147963
0.60567,0.148491
0.608787,0.149019
0.611913,0.149547
0.615046,0.150075
0.618188,0.150603
0.621338,0.151132
0.624495,0.15166
0.627661,0.152189
0.630834,0.152718
0.634016,0.153247
0.637206,0.153776
0.640403,0.154305
0.643609,0.154834
0.646823,0.155364
0.650044,0.155893
0.653274,0.156422
0.656511,0.156952
0.659757,0.157482
0.663011,0.158012
0.666272,0.158542
0.669542,0.159072
0.67282,0.159602
0.676105,0.160132
0.679399,0.160662
0.682701,0.161193
0.68601,0.161723
0.689328,0.162254
0.692654,0.162784
0.695987,0.163315
0.699329,0.163846
0.702679,0.164377
0.706036,0.164908
0.709402,0.165439
0.712776,0.16597
0.716157,0.166501
0.719547,0.167032
0.722945,0.167564
0.72635,0.168095
0.729764,0.168627
0.733186,0.169158
0.736615,0.16969
0.740053,0.170221
0.743499,0.170753
0.746953,0.171285
0.750414,0.171817
