r²,N_GBW
0.300534,0.058074
0.302731,0.0584859
0.304936,0.0588992
0.30715,0.0593137
0.309371,0.0597296
0.3116,0.0601468
0.313838,0.0605653
0.316083,0.0609851
0.318336,0.0614062
0.320597,0.0618287
0.322867,0.0622524
0.325144,0.0626774
0.327429,0.0631037
0.329723,0.0635314
0.332024,0.0639603
0.334333,0.0643905
0.336651,0.064822
0.338976,0.0652548
0.341309,0.0656889
0.343651,0.0661243
0.346,0.0665609
0.348357,0.0669989
0.350723,0.0674381
0.353096,0.0678786
0.355477,0.0683203
0.357867,0.0687634
0.360264,0.0692077
0.362669,0.0696533
0.365083,0.0701002
0.367504,0.0705483
0.369934,0.0709977
0.372371,0.0714483
0.374816,0.0719002
0.37727,0.0723534
0.379731,0.0728078
0.3822,0.0732635
0.384678,0.0737204
0.387163,0.0741786
0.389657,0.074638
0.392158,0.0750987
0.394667,0.0755606
0.397185,0.0760238
0.39971,0.0764882
0.402244,0.0769538
0.404785,0.0774207
0.407335,0.0778888
0.409892,0.0783581
0.412457,0.0788286
0.415031,0.0793004
0.417612,0.0797734
0.420202,0.0802477
0.422799,0.0807231
0.425405,0.0811998
0.428018,0.0816777
0.430639,0.0821568
0.433269,0.0826371
0.435906,0.0831186
0.438552,0.0836013
0.441205,0.0840853
0.443867,0.0845704
0.446536,0.0850567
0.449214,0.0855443
0.451899,0.086033
0.454593,0.0865229
0.457294,0.087014
0.460004,0.0875063
0.462721,0.0879998
0.465447,0.0884945
0.46818,0.0889904
0.470922,0.0894874
0.473671,0.0899856
0.476429,0.090485
0.479194,0.0909856
0.481968,0.0914873
0.484749,0.0919902
0.487539,0.0924943
0.490336,0.0929996
0.493142,0.093506
0.495955,0.0940135
0.498777,0.0945223
0.501606,0.0950321
0.504444,0.0955432
0.507289,0.0960554
0.510143,0.0965687
0.513004,0.0970832
0.515874,0.0975988
0.518751,0.0981156
0.521637,0.0986335
0.524531,0.0991525
0.527432,0.0996727
0.530342,0.100194
0.533259,0.100716
0.536185,0.10124
0.539118,0.101765
0.54206,0.102291
0.54501,0.102818
0.547967,0.103346
0.550933,0.103875
0.553906,0.104405
0.556888,0.104936
0.559878,0.105469
0.562875,0.106003
0.565881,0.106537
0.568894,0.107073
0.571916,0.10761
0.574946,0.108148
0.577983,0.108687
0.581029,0.109227
0.584082,0.109769
0.587144,0.110311
0.590214,0.110855
0.593291,0.111399
0.596377,0.111945
0.599471,0.112492
0.602572,0.113039
0.605682,0.113588
0.608799,0.114138
0.611925,0.114689
0.615059,0.115241
0.6182,0.115794
0.62135,0.116349
0.624508,0.116904
0.627673,0.11746
0.630847,0.118018
0.634029,0.118576
0.637218,0.119136
0.640416,0.119696
0.643622,0.120258
0.646835,0.12082
0.650057,0.121384
0.653287,0.121949
0.656525,0.122514
0.65977,0.123081
0.663024,0.123649
0.666286,0.124218
0.669555,0.124788
0.672833,0.125358
0.676119,0.12593
0.679413,0.126503
0.682714,0.127077
0.686024,0.127652
0.689342,0.128228
0.692667,0.128805
0.696001,0.129383
0.699343,0.129962
0.702693,0.130542
0.70605,0.131123
0.709416,0.131705
0.71279,0.132288
0.716172,0.132872
0.719561,0.133456
0.722959,0.134042
0.726365,0.134629
0.729779,0.135217
0.7332,0.135806
0.73663,0.136396
0.740068,0.136987
0.743514,0.137578
0.746968,0.138171
0.750429,0.138765
0.753899,0.139359
0.757377,0.139955
0.760863,0.140552
0.764356,0.141149
0.767858,0.141747
0.771368,0.142347
0.774886,0.142947
0.778412,0.143549
0.781946,0.144151
0.785487,0.144754
0.789037,0.145358
0.792595,0.145963
0.796161,0.146569
0.799735,0.147176
0.803316,0.147784
0.806906,0.148393
0.810504,0.149002
0.81411,0.149613
0.817724,0.150225
0.821346,0.150837
0.824976,0.15145
0.828613,0.152065
0.832259,0.15268
0.835913,0.153296
0.839575,0.153913
0.843245,0.154531
0.846923,0.155149
0.850609,0.155769
0.854302,0.15639
0.858004,0.157011
0.861714,0.157633
0.865432,0.158256
0.869158,0.158881
0.872892,0.159505
0.876634,0.160131
0.880384,0.160758
0.884142,0.161385
0.887907,0.162014
0.891681,0.162643
