W,sigma_GLC,sigma_BG
1.019,0,0
1.08889,1.66807e-08,1.56519e-08
1.16358,1.32848e-05,1.24316e-05
1.24339,0.000520762,0.000485978
1.32867,0.00600155,0.00558516
1.41981,0.0355998,0.0330371
1.51719,0.139473,0.129068
1.62126,0.412219,0.380379
1.73246,0.994912,0.915436
1.85129,2.06362,1.8933
1.97827,3.80859,3.48414
2.11396,6.41098,5.84778
2.25895,10.0231,9.11592
2.4139,14.7556,13.3809
2.57947,20.6724,18.6916
2.75639,27.7922,25.0556
2.94545,36.0942,32.4449
3.14748,45.5268,40.8044
3.36337,56.0171,50.0602
3.59406,67.4791,60.1282
3.84058,79.8214,70.9205
4.104,92.9536,82.3507
4.3855,106.79,94.3382
4.6863,121.252,106.81
5.00773,136.271,119.703
5.35121,151.789,132.962
5.71825,167.758,146.545
6.11046,184.139,160.415
6.52958,200.902,174.546
6.97745,218.025,188.918
7.45603,235.494,203.517
7.96744,253.298,218.336
8.51392,271.433,233.37
9.09789,289.898,248.619
9.72192,308.695,264.085
10.3887,327.83,279.773
11.1013,347.307,295.687
11.8627,367.134,311.835
12.6764,387.319,328.224
13.5459,407.869,344.861
14.475,428.792,361.753
15.4678,450.095,378.906
16.5288,471.785,396.328
17.6625,493.869,414.024
18.874,516.35,431.999
20.1685,539.233,450.258
21.5519,562.52,468.802
23.0301,586.214,487.635
24.6098,610.314,506.758
26.2978,634.821,526.17
28.1015,659.731,545.873
30.029,685.042,565.863
32.0887,710.749,586.138
34.2897,736.847,606.695
36.6416,763.329,627.529
39.1548,790.188,648.635
41.8405,817.414,670.006
44.7103,844.997,691.637
47.777,872.926,713.518
51.054,901.191,735.641
54.5558,929.777,757.998
58.2978,958.672,780.578
62.2964,987.861,803.372
66.5693,1017.33,826.367
71.1353,1047.06,849.553
76.0145,1077.04,872.917
81.2283,1107.25,896.448
86.7998,1137.68,920.133
92.7534,1168.3,943.958
99.1154,1199.1,967.911
105.914,1230.06,991.977
113.178,1261.16,1016.14
120.941,1292.39,1040.4
129.237,1323.72,1064.72
138.101,1355.13,1089.1
147.573,1386.61,1113.53
157.695,1418.14,1137.99
168.512,1449.71,1162.46
180.07,1481.28,1186.93
192.421,1512.84,1211.4
205.619,1544.38,1235.83
219.722,1575.88,1260.23
234.793,1607.31,1284.58
250.898,1638.67,1308.86
268.107,1669.93,1333.06
286.496,1701.09,1357.17
306.147,1732.11,1381.18
327.146,1762.99,1405.07
349.584,1793.71,1428.84
373.562,1824.25,1452.47
399.185,1854.61,1475.95
426.565,1884.77,1499.27
455.823,1914.71,1522.42
487.088,1944.42,1545.39
520.498,1973.89,1568.18
556.199,2003.11,1590.76
594.348,2032.07,1613.14
635.115,2060.75,1635.31
678.677,2089.15,1657.25
725.228,2117.25,1678.97
774.971,2145.05,1700.45
828.126,2172.54,1721.68
884.928,2199.72,1742.67
945.625,2226.56,1763.41
1010.49,2253.08,1783.88
1079.79,2279.25,1804.1
1153.86,2305.08,1824.04
1233,2330.56,1843.72
1317.57,2355.68,1863.11
1407.94,2380.44,1882.23
1504.52,2404.85,1901.07
1607.71,2428.88,1919.62
1717.98,2452.55,1937.89
1835.82,2475.85,1955.87
1961.74,2498.77,1973.56
2096.29,2521.32,1990.96
2240.08,2543.49,2008.07
2393.73,2565.29,2024.89
2557.91,2586.71,2041.42
2733.36,2607.76,2057.65
2920.84,2628.42,2073.6
3121.18,2648.72,2089.25
3335.26,2668.64,2104.61
3564.03,2688.18,2119.68
3808.48,2707.35,2134.47
4069.71,2726.16,2148.97
4348.85,2744.6,2163.19
4647.14,2762.67,2177.12
4965.88,2780.38,2190.77
5306.49,2797.73,2204.15
5670.47,2814.72,2217.25
6059.4,2831.36,2230.07
6475.02,2847.65,2242.63
6919.14,2863.6,2254.92
7393.73,2879.2,2266.94
7900.86,2894.46,2278.7
8442.78,2909.39,2290.2
9021.87,2923.99,2301.45
9640.68,2938.26,2312.44
10301.9,2952.21,2323.19
11008.5,2965.85,2333.69
11763.6,2979.17,2343.95
12570.5,2992.18,2353.97
13432.7,3004.89,2363.76
14354,3017.3,2373.31
15338.6,3029.42,2382.64
16390.7,3041.24,2391.75
17514.9,3052.79,2400.63
18716.3,3064.05,2409.3
20000,3075.04,2417.76
