W,sigma_GLC,sigma_BG
1,-nan,-nan
1.08423,4.36772e-08,4.71669e-08
1.17556,0.000132897,0.000143398
1.27458,0.00712999,0.00768696
1.38194,0.0897002,0.0966256
1.49835,0.534631,0.575415
1.62456,2.02766,2.18044
1.7614,5.69637,6.12023
1.90976,12.9511,13.9025
2.07063,25.2029,27.0301
2.24504,43.5885,46.7066
2.43415,68.7935,73.6483
2.63918,101,108.03
2.86149,139.936,149.54
3.10252,184.98,197.497
3.36385,235.295,250.99
3.6472,289.94,309.002
3.95441,347.968,370.514
4.2875,408.493,434.576
4.64864,470.73,500.349
5.04021,534.013,567.123
5.46476,597.799,634.325
5.92507,661.662,701.502
6.42416,725.277,768.318
6.96528,788.41,834.529
7.55198,850.9,899.969
8.1881,912.64,964.535
8.87781,973.572,1028.17
9.62561,1033.67,1090.85
10.4364,1087.01,1141.97
11.3155,1116.17,1172.17
12.2686,1146.36,1203.43
13.302,1177.33,1235.49
14.4225,1208.89,1268.15
15.6373,1240.88,1301.26
16.9545,1273.17,1334.67
18.3826,1305.66,1368.29
19.931,1338.26,1402.02
21.6099,1370.88,1435.77
23.4301,1403.46,1469.48
25.4037,1435.94,1503.08
27.5435,1468.27,1536.53
29.8636,1500.39,1569.78
32.3791,1532.28,1602.78
35.1065,1563.88,1635.49
38.0636,1595.17,1667.89
41.2698,1626.12,1699.94
44.746,1656.7,1731.61
48.5151,1686.87,1762.87
52.6017,1716.63,1793.71
57.0324,1745.95,1824.1
61.8364,1774.81,1854.02
67.0451,1803.19,1883.46
72.6924,1831.09,1912.4
78.8155,1858.48,1940.83
85.4543,1885.36,1968.73
92.6524,1911.72,1996.1
100.457,1937.55,2022.93
108.918,1962.84,2049.2
118.093,1987.59,2074.93
128.04,2011.79,2100.09
138.825,2035.45,2124.69
150.519,2058.56,2148.73
163.198,2081.12,2172.21
176.944,2103.13,2195.12
191.848,2124.59,2217.46
208.008,2145.51,2239.25
225.529,2165.88,2260.48
244.526,2185.73,2281.15
265.123,2205.03,2301.28
287.455,2223.82,2320.86
311.669,2242.08,2339.91
337.921,2259.83,2358.42
366.385,2277.07,2376.41
397.247,2293.81,2393.88
430.708,2310.07,2410.85
466.987,2325.84,2427.31
506.323,2341.13,2443.29
548.972,2355.96,2458.78
595.213,2370.34,2473.8
645.349,2384.27,2488.35
699.709,2397.76,2502.45
758.647,2410.83,2516.11
822.55,2423.47,2529.33
891.835,2435.71,2542.13
966.957,2447.55,2554.51
1048.41,2459.01,2566.49
1136.72,2470.08,2578.08
1232.46,2480.79,2589.28
1336.28,2491.14,2600.11
1448.84,2501.13,2610.57
1570.88,2510.79,2620.68
1703.19,2520.12,2630.44
1846.66,2529.13,2639.87
2002.21,2537.82,2648.97
2170.86,2546.21,2657.76
2353.72,2554.31,2666.24
2551.97,2562.13,2674.42
2766.93,2569.66,2682.31
3000,2576.93,2689.93
