r,N_ipsat
1.97239e-05,1.04537e-09
0.000414276,5.81938e-07
0.000808828,2.33527e-06
0.00120338,5.32728e-06
0.00159793,9.59425e-06
0.00199249,1.51775e-05
0.00238704,2.20973e-05
0.00278159,3.03654e-05
0.00317614,3.99945e-05
0.00357069,5.09953e-05
0.00396525,6.33767e-05
0.0043598,7.71463e-05
0.00475435,9.23104e-05
0.0051489,0.000108874
0.00554346,0.000126843
0.00593801,0.00014622
0.00633256,0.00016701
0.00672711,0.000189214
0.00712166,0.000212836
0.00751622,0.000237877
0.00791077,0.000264339
0.00830532,0.000292224
0.00869987,0.000321532
0.00909443,0.000352265
0.00948898,0.000384423
0.00988353,0.000418006
0.0102781,0.000453015
0.0106726,0.000489449
0.0110672,0.000527309
0.0114617,0.000566594
0.0118563,0.000607303
0.0122508,0.000649436
0.0126454,0.000692992
0.0130399,0.000737971
0.0134345,0.000784371
0.0138291,0.000832191
0.0142236,0.000881429
0.0146182,0.000932086
0.0150127,0.000984158
0.0154073,0.00103765
0.0158018,0.00109255
0.0161964,0.00114886
0.0165909,0.00120658
0.0169855,0.00126571
0.01738,0.00132625
0.0177746,0.00138819
0.0181691,0.00145153
0.0185637,0.00151627
0.0189582,0.00158241
0.0193528,0.00164995
0.0197473,0.00171888
0.0201419,0.0017892
0.0205364,0.00186092
0.020931,0.00193401
0.0213255,0.0020085
0.0217201,0.00208436
0.0221147,0.00216161
0.0225092,0.00224023
0.0229038,0.00232023
0.0232983,0.0024016
0.0236929,0.00248434
0.0240874,0.00256845
0.024482,0.00265392
0.0248765,0.00274075
0.0252711,0.00282894
0.0256656,0.00291849
0.0260602,0.00300939
0.0264547,0.00310164
0.0268493,0.00319524
0.0272438,0.00329018
0.0276384,0.00338647
0.0280329,0.0034841
0.0284275,0.00358306
0.028822,0.00368335
0.0292166,0.00378498
0.0296111,0.00388793
0.0300057,0.00399221
0.0304002,0.00409781
0.0307948,0.00420472
0.0311894,0.00431295
0.0315839,0.0044225
0.0319785,0.00453335
0.032373,0.00464551
0.0327676,0.00475897
0.0331621,0.00487374
0.0335567,0.0049898
0.0339512,0.00510715
0.0343458,0.00522579
0.0347403,0.00534572
0.0351349,0.00546693
0.0355294,0.00558943
0.035924,0.0057132
0.0363185,0.00583825
0.0367131,0.00596456
0.0371076,0.00609215
0.0375022,0.006221
0.0378967,0.00635111
0.0382913,0.00648248
0.0386858,0.0066151
0.0390804,0.00674898
0.039475,0.0068841
0.0398695,0.00702047
0.0402641,0.00715808
0.0406586,0.00729692
