r,sigma_dipolo
3.12728e-05,8.83593e-09
3.13449e-05,8.87937e-09
3.14172e-05,8.92302e-09
3.14896e-05,8.96689e-09
3.15622e-05,9.01097e-09
3.1635e-05,9.05527e-09
3.1708e-05,9.09979e-09
3.17811e-05,9.14453e-09
3.18543e-05,9.18948e-09
3.19278e-05,9.23466e-09
3.20014e-05,9.28006e-09
3.20752e-05,9.32569e-09
3.21491e-05,9.37154e-09
3.22233e-05,9.41761e-09
3.22976e-05,9.46391e-09
3.2372e-05,9.51044e-09
3.24467e-05,9.5572e-09
3.25215e-05,9.60419e-09
3.25965e-05,9.65141e-09
3.26716e-05,9.69887e-09
3.2747e-05,9.74655e-09
3.28225e-05,9.79447e-09
3.28982e-05,9.84263e-09
3.2974e-05,9.89103e-09
3.305e-05,9.93966e-09
3.31262e-05,9.98853e-09
3.32026e-05,1.00376e-08
3.32792e-05,1.0087e-08
3.33559e-05,1.01366e-08
3.34328e-05,1.01864e-08
3.35099e-05,1.02365e-08
3.35872e-05,1.02869e-08
3.36646e-05,1.03374e-08
3.37422e-05,1.03883e-08
3.382e-05,1.04394e-08
3.3898e-05,1.04907e-08
3.39762e-05,1.05423e-08
3.40545e-05,1.05941e-08
3.4133e-05,1.06462e-08
3.42117e-05,1.06986e-08
3.42906e-05,1.07512e-08
3.43697e-05,1.0804e-08
3.44489e-05,1.08572e-08
3.45283e-05,1.09106e-08
3.4608e-05,1.09642e-08
3.46877e-05,1.10181e-08
3.47677e-05,1.10723e-08
3.48479e-05,1.11268e-08
3.49282e-05,1.11815e-08
3.50088e-05,1.12365e-08
3.50895e-05,1.12917e-08
3.51704e-05,1.13473e-08
3.52515e-05,1.14031e-08
3.53328e-05,1.14592e-08
3.54142e-05,1.15155e-08
3.54959e-05,1.15722e-08
3.55777e-05,1.16291e-08
3.56598e-05,1.16863e-08
3.5742e-05,1.17437e-08
3.58244e-05,1.18015e-08
3.5907e-05,1.18595e-08
3.59898e-05,1.19179e-08
3.60728e-05,1.19765e-08
3.61559e-05,1.20354e-08
3.62393e-05,1.20946e-08
3.63229e-05,1.21541e-08
3.64066e-05,1.22138e-08
3.64906e-05,1.22739e-08
3.65747e-05,1.23343e-08
3.6659e-05,1.2395e-08
3.67435e-05,1.24559e-08
3.68283e-05,1.25172e-08
3.69132e-05,1.25788e-08
3.69983e-05,1.26406e-08
3.70836e-05,1.27028e-08
3.71691e-05,1.27653e-08
3.72548e-05,1.28281e-08
3.73407e-05,1.28912e-08
3.74268e-05,1.29546e-08
3.75131e-05,1.30183e-08
3.75996e-05,1.30823e-08
3.76863e-05,1.31467e-08
3.77732e-05,1.32114e-08
3.78603e-05,1.32764e-08
3.79476e-05,1.33417e-08
3.80351e-05,1.34073e-08
3.81228e-05,1.34732e-08
3.82107e-05,1.35395e-08
3.82988e-05,1.36061e-08
3.83871e-05,1.36731e-08
3.84756e-05,1.37403e-08
3.85643e-05,1.38079e-08
3.86532e-05,1.38758e-08
3.87423e-05,1.39441e-08
3.88317e-05,1.40127e-08
3.89212e-05,1.40816e-08
3.90109e-05,1.41509e-08
3.91009e-05,1.42205e-08
3.9191e-05,1.42905e-08
3.92814e-05,1.43608e-08
3.9372e-05,1.44315e-08
3.94627e-05,1.45025e-08
3.95537e-05,1.45738e-08
3.96449e-05,1.46455e-08
3.97363e-05,1.47176e-08
3.9828e-05,1.479e-08
3.99198e-05,1.48627e-08
4.00118e-05,1.49359e-08
4.01041e-05,1.50093e-08
4.01966e-05,1.50832e-08
4.02892e-05,1.51574e-08
4.03821e-05,1.5232e-08
4.04752e-05,1.53069e-08
4.05686e-05,1.53822e-08
4.06621e-05,1.54579e-08
4.07559e-05,1.5534e-08
4.08498e-05,1.56104e-08
4.0944e-05,1.56872e-08
4.10384e-05,1.57644e-08
4.1133e-05,1.5842e-08
4.12279e-05,1.59199e-08
4.13229e-05,1.59983e-08
4.14182e-05,1.6077e-08
4.15137e-05,1.61561e-08
4.16094e-05,1.62356e-08
4.17054e-05,1.63155e-08
4.18015e-05,1.63958e-08
4.18979e-05,1.64764e-08
4.19945e-05,1.65575e-08
4.20914e-05,1.6639e-08
4.21884e-05,1.67209e-08
4.22857e-05,1.68032e-08
4.23832e-05,1.68858e-08
4.24809e-05,1.69689e-08
4.25788e-05,1.70524e-08
4.2677e-05,1.71364e-08
4.27754e-05,1.72207e-08
4.2874e-05,1.73054e-08
4.29729e-05,1.73906e-08
4.3072e-05,1.74762e-08
4.31713e-05,1.75622e-08
4.32708e-05,1.76486e-08
4.33706e-05,1.77355e-08
4.34706e-05,1.78228e-08
4.35708e-05,1.79105e-08
4.36713e-05,1.79986e-08
4.3772e-05,1.80872e-08
4.38729e-05,1.81762e-08
4.39741e-05,1.82657e-08
4.40755e-05,1.83556e-08
4.41771e-05,1.84459e-08
4.42789e-05,1.85367e-08
4.4381e-05,1.86279e-08
4.44834e-05,1.87196e-08
4.45859e-05,1.88117e-08
4.46887e-05,1.89043e-08
4.47918e-05,1.89974e-08
4.48951e-05,1.90909e-08
4.49986e-05,1.91848e-08
4.51023e-05,1.92793e-08
4.52063e-05,1.93742e-08
4.53105e-05,1.94695e-08
4.5415e-05,1.95654e-08
4.55197e-05,1.96617e-08
4.56247e-05,1.97584e-08
4.57299e-05,1.98557e-08
4.58353e-05,1.99534e-08
4.5941e-05,2.00516e-08
4.60469e-05,2.01503e-08
4.61531e-05,2.02495e-08
4.62595e-05,2.03492e-08
4.63662e-05,2.04494e-08
4.64731e-05,2.055e-08
4.65802e-05,2.06512e-08
4.66876e-05,2.07529e-08
4.67953e-05,2.0855e-08
4.69032e-05,2.09577e-08
4.70113e-05,2.10608e-08
4.71197e-05,2.11645e-08
4.72284e-05,2.12687e-08
4.73373e-05,2.13734e-08
4.74464e-05,2.14786e-08
4.75558e-05,2.15844e-08
4.76655e-05,2.16906e-08
4.77754e-05,2.17974e-08
4.78855e-05,2.19047e-08
4.79959e-05,2.20126e-08
4.81066e-05,2.21209e-08
4.82175e-05,2.22298e-08
4.83287e-05,2.23393e-08
4.84401e-05,2.24492e-08
4.85518e-05,2.25598e-08
4.86637e-05,2.26708e-08
4.87759e-05,2.27824e-08
4.88884e-05,2.28946e-08
4.90011e-05,2.30073e-08
4.91141e-05,2.31206e-08
4.92274e-05,2.32344e-08
4.93409e-05,2.33488e-08
4.94546e-05,2.34638e-08
4.95687e-05,2.35793e-08
4.96829e-05,2.36954e-08
4.97975e-05,2.38121e-08
4.99123e-05,2.39293e-08
5.00274e-05,2.40472e-08
5.01427e-05,2.41656e-08
5.02584e-05,2.42845e-08
5.03742e-05,2.44041e-08
5.04904e-05,2.45243e-08
5.06068e-05,2.4645e-08
5.07235e-05,2.47664e-08
5.08404e-05,2.48883e-08
5.09577e-05,2.50109e-08
5.10752e-05,2.5134e-08
5.11929e-05,2.52578e-08
5.1311e-05,2.53822e-08
5.14293e-05,2.55072e-08
5.15478e-05,2.56328e-08
5.16667e-05,2.5759e-08
5.17858e-05,2.58858e-08
5.19052e-05,2.60133e-08
5.20249e-05,2.61414e-08
5.21449e-05,2.62701e-08
5.22651e-05,2.63995e-08
5.23856e-05,2.65295e-08
5.25064e-05,2.66602e-08
5.26274e-05,2.67914e-08
5.27488e-05,2.69234e-08
5.28704e-05,2.7056e-08
5.29923e-05,2.71892e-08
5.31145e-05,2.73231e-08
5.3237e-05,2.74577e-08
5.33597e-05,2.75929e-08
5.34827e-05,2.77288e-08
5.36061e-05,2.78654e-08
5.37297e-05,2.80026e-08
5.38535e-05,2.81405e-08
5.39777e-05,2.82791e-08
5.41022e-05,2.84184e-08
5.42269e-05,2.85583e-08
5.43519e-05,2.8699e-08
5.44773e-05,2.88403e-08
5.46029e-05,2.89824e-08
5.47288e-05,2.91251e-08
5.4855e-05,2.92686e-08
5.49814e-05,2.94127e-08
5.51082e-05,2.95576e-08
5.52353e-05,2.97032e-08
5.53626e-05,2.98495e-08
5.54903e-05,2.99965e-08
5.56182e-05,3.01443e-08
5.57465e-05,3.02927e-08
5.5875e-05,3.04419e-08
5.60038e-05,3.05919e-08
5.6133e-05,3.07426e-08
5.62624e-05,3.0894e-08
5.63921e-05,3.10462e-08
5.65221e-05,3.11991e-08
5.66525e-05,3.13528e-08
5.67831e-05,3.15072e-08
5.6914e-05,3.16624e-08
5.70452e-05,3.18184e-08
5.71768e-05,3.19751e-08
5.73086e-05,3.21326e-08
5.74407e-05,3.22909e-08
5.75732e-05,3.245e-08
5.77059e-05,3.26099e-08
5.7839e-05,3.27705e-08
5.79723e-05,3.29319e-08
5.8106e-05,3.30942e-08
5.824e-05,3.32572e-08
5.83742e-05,3.3421e-08
5.85088e-05,3.35857e-08
5.86437e-05,3.37511e-08
5.8779e-05,3.39174e-08
5.89145e-05,3.40845e-08
5.90503e-05,3.42524e-08
5.91865e-05,3.44212e-08
5.93229e-05,3.45907e-08
5.94597e-05,3.47612e-08
5.95968e-05,3.49324e-08
5.97342e-05,3.51045e-08
5.9872e-05,3.52775e-08
6.001e-05,3.54513e-08
6.01484e-05,3.56259e-08
6.02871e-05,3.58015e-08
6.04261e-05,3.59779e-08
6.05654e-05,3.61551e-08
6.0705e-05,3.63333e-08
6.0845e-05,3.65123e-08
6.09853e-05,3.66922e-08
6.11259e-05,3.6873e-08
6.12668e-05,3.70546e-08
6.14081e-05,3.72372e-08
6.15497e-05,3.74207e-08
6.16916e-05,3.76051e-08
6.18339e-05,3.77904e-08
6.19764e-05,3.79766e-08
6.21193e-05,3.81637e-08
6.22626e-05,3.83518e-08
6.24061e-05,3.85407e-08
6.255e-05,3.87306e-08
6.26942e-05,3.89215e-08
6.28388e-05,3.91133e-08
6.29837e-05,3.9306e-08
6.31289e-05,3.94997e-08
6.32744e-05,3.96944e-08
6.34203e-05,3.989e-08
6.35666e-05,4.00865e-08
6.37131e-05,4.02841e-08
6.386e-05,4.04826e-08
6.40073e-05,4.06821e-08
6.41549e-05,4.08826e-08
6.43028e-05,4.1084e-08
6.4451e-05,4.12865e-08
6.45996e-05,4.149e-08
6.47486e-05,4.16944e-08
6.48979e-05,4.18999e-08
6.50475e-05,4.21064e-08
6.51975e-05,4.23139e-08
6.53478e-05,4.25224e-08
6.54985e-05,4.2732e-08
6.56495e-05,4.29426e-08
6.58009e-05,4.31542e-08
6.59526e-05,4.33669e-08
6.61047e-05,4.35807e-08
6.62571e-05,4.37954e-08
6.64099e-05,4.40113e-08
6.6563e-05,4.42282e-08
6.67164e-05,4.44462e-08
6.68703e-05,4.46652e-08
6.70245e-05,4.48854e-08
6.7179e-05,4.51066e-08
6.73339e-05,4.53289e-08
6.74891e-05,4.55524e-08
6.76448e-05,4.57769e-08
6.78007e-05,4.60025e-08
6.7957e-05,4.62293e-08
6.81137e-05,4.64571e-08
6.82708e-05,4.66861e-08
6.84282e-05,4.69162e-08
6.8586e-05,4.71475e-08
6.87441e-05,4.73799e-08
6.89026e-05,4.76134e-08
6.90615e-05,4.78481e-08
6.92207e-05,4.8084e-08
6.93803e-05,4.8321e-08
6.95403e-05,4.85592e-08
6.97006e-05,4.87986e-08
6.98613e-05,4.90391e-08
7.00224e-05,4.92808e-08
7.01839e-05,4.95238e-08
7.03457e-05,4.97679e-08
7.05079e-05,5.00132e-08
7.06705e-05,5.02598e-08
7.08334e-05,5.05076e-08
7.09967e-05,5.07565e-08
7.11604e-05,5.10068e-08
7.13245e-05,5.12582e-08
7.14889e-05,5.15109e-08
7.16538e-05,5.17649e-08
7.1819e-05,5.20201e-08
7.19846e-05,5.22765e-08
7.21506e-05,5.25342e-08
7.23169e-05,5.27932e-08
7.24837e-05,5.30535e-08
7.26508e-05,5.33151e-08
7.28183e-05,5.35779e-08
7.29862e-05,5.38421e-08
7.31545e-05,5.41075e-08
7.33231e-05,5.43743e-08
