W,sigma_GLC,sigma_BG
25,2156.35,3356.76
26.2387,2181.17,3394.29
27.5387,2206.21,3432.13
28.9032,2231.46,3470.28
30.3352,2256.93,3508.74
31.8382,2282.61,3547.51
33.4157,2308.49,3586.59
35.0714,2334.59,3625.97
36.8091,2360.9,3665.66
38.6328,2387.41,3705.64
40.547,2414.14,3745.94
42.5559,2441.07,3786.53
44.6644,2468.21,3827.42
46.8774,2495.56,3868.62
49.2001,2523.11,3910.12
51.6378,2550.88,3951.92
54.1963,2578.85,3994.02
56.8815,2607.02,4036.43
59.6998,2635.41,4079.13
62.6577,2664.01,4122.14
65.7622,2692.81,4165.46
69.0206,2721.82,4209.07
72.4403,2751.04,4252.99
76.0295,2780.47,4297.21
79.7965,2810.11,4341.73
83.7502,2839.96,4386.56
87.8997,2870.02,4431.7
92.2549,2900.29,4477.14
96.8258,2930.77,4522.88
101.623,2961.46,4568.93
106.658,2992.36,4615.29
111.943,3023.48,4661.95
117.489,3054.8,4708.92
123.311,3086.34,4756.2
129.42,3118.09,4803.79
135.833,3150.06,4851.68
142.563,3182.23,4899.89
149.626,3214.62,4948.4
157.04,3247.23,4997.23
164.821,3280.05,5046.36
172.987,3313.08,5095.8
181.558,3346.33,5145.56
190.553,3379.79,5195.63
199.995,3413.47,5246.01
209.904,3447.37,5296.7
220.304,3481.48,5347.7
231.219,3515.8,5399.02
242.676,3550.35,5450.65
254.699,3585.1,5502.59
267.319,3620.08,5554.85
280.564,3655.28,5607.42
294.465,3690.69,5660.31
309.055,3726.32,5713.51
324.367,3762.16,5767.03
340.439,3798.23,5820.86
357.306,3834.51,5875.01
375.01,3871.02,5929.48
393.59,3907.74,5984.26
413.091,3944.68,6039.36
433.559,3981.84,6094.77
455.04,4019.22,6150.5
477.586,4056.82,6206.55
501.249,4094.63,6262.92
526.084,4132.67,6319.6
552.15,4170.93,6376.61
579.507,4209.41,6433.93
608.22,4248.11,6491.57
638.356,4287.02,6549.52
669.984,4326.16,6607.8
703.18,4365.52,6666.39
738.02,4405.1,6725.31
774.587,4444.9,6784.54
812.965,4484.93,6844.09
853.245,4525.17,6903.96
895.52,4565.63,6964.15
939.891,4606.32,7024.65
986.459,4647.22,7085.48
1035.34,4688.35,7146.63
1086.63,4729.69,7208.09
1140.47,4771.26,7269.87
1196.98,4813.05,7331.98
1256.29,4855.06,7394.4
1318.53,4897.29,7457.14
1383.86,4939.74,7520.2
1452.43,4982.41,7583.57
1524.39,5025.31,7647.27
1599.92,5068.42,7711.29
1679.19,5111.76,7775.62
1762.39,5155.31,7840.27
1849.71,5199.09,7905.24
1941.35,5243.08,7970.53
2037.54,5287.3,8036.14
2138.5,5331.74,8102.06
2244.45,5376.39,8168.3
2355.66,5421.27,8234.86
2472.37,5466.37,8301.74
2594.87,5511.68,8368.93
2723.44,5557.22,8436.44
2858.38,5602.97,8504.26
3000,5648.94,8572.4
