r,N_cgc
3.0654e-06,0.000521331
3.15136e-06,0.000535951
3.23974e-06,0.000550982
3.3306e-06,0.000566434
3.42401e-06,0.000582319
3.52003e-06,0.00059865
3.61875e-06,0.000615439
3.72024e-06,0.000632699
3.82457e-06,0.000650443
3.93183e-06,0.000668684
4.0421e-06,0.000687437
4.15546e-06,0.000706716
4.27199e-06,0.000726536
4.3918e-06,0.000746911
4.51497e-06,0.000767858
4.64159e-06,0.000789392
4.77176e-06,0.000811531
4.90558e-06,0.00083429
5.04316e-06,0.000857687
5.18459e-06,0.00088174
5.32999e-06,0.000906469
5.47947e-06,0.00093189
5.63314e-06,0.000958025
5.79112e-06,0.000984892
5.95353e-06,0.00101251
6.1205e-06,0.00104091
6.29215e-06,0.0010701
6.46861e-06,0.00110011
6.65002e-06,0.00113096
6.83652e-06,0.00116268
7.02824e-06,0.00119529
7.22535e-06,0.00122881
7.42798e-06,0.00126327
7.6363e-06,0.0012987
7.85046e-06,0.00133512
8.07062e-06,0.00137256
8.29696e-06,0.00141105
8.52964e-06,0.00145063
8.76886e-06,0.00149131
9.01478e-06,0.00153313
9.26759e-06,0.00157613
9.5275e-06,0.00162033
9.7947e-06,0.00166577
1.00694e-05,0.00171249
1.03518e-05,0.00176051
1.06421e-05,0.00180988
1.09405e-05,0.00186064
1.12474e-05,0.00191282
1.15628e-05,0.00196647
1.18871e-05,0.00202162
1.22204e-05,0.00207831
1.25632e-05,0.0021366
1.29155e-05,0.00219651
1.32777e-05,0.00225811
1.36501e-05,0.00232144
1.40329e-05,0.00238655
1.44264e-05,0.00245347
1.4831e-05,0.00252228
1.5247e-05,0.00259302
1.56746e-05,0.00266574
1.61141e-05,0.00274049
1.65661e-05,0.00281735
1.70307e-05,0.00289636
1.75083e-05,0.00297759
1.79993e-05,0.00306109
1.85041e-05,0.00314694
1.9023e-05,0.00323519
1.95565e-05,0.00332592
2.0105e-05,0.00341919
2.06688e-05,0.00351508
2.12485e-05,0.00361366
2.18444e-05,0.003715
2.2457e-05,0.00381918
2.30868e-05,0.00392629
2.37342e-05,0.0040364
2.43999e-05,0.0041496
2.50842e-05,0.00426597
2.57876e-05,0.0043856
2.65108e-05,0.00450859
2.72543e-05,0.00463503
2.80187e-05,0.00476502
2.88044e-05,0.00489865
2.96123e-05,0.00503603
3.04427e-05,0.00517726
3.12965e-05,0.00532245
3.21742e-05,0.00547171
3.30765e-05,0.00562516
3.40041e-05,0.00578291
3.49578e-05,0.00594508
3.59381e-05,0.00611181
3.6946e-05,0.0062832
3.79822e-05,0.00645941
3.90474e-05,0.00664055
4.01424e-05,0.00682678
4.12682e-05,0.00701823
4.24256e-05,0.00721505
4.36154e-05,0.00741738
4.48386e-05,0.00762539
4.6096e-05,0.00783923
4.73888e-05,0.00805907
4.87178e-05,0.00828508
5.00841e-05,0.00851742
5.14887e-05,0.00875628
5.29327e-05,0.00900183
5.44171e-05,0.00925428
5.59433e-05,0.0095138
5.75122e-05,0.00978059
5.91251e-05,0.0100549
6.07832e-05,0.0103368
6.24879e-05,0.0106267
6.42403e-05,0.0109247
6.60419e-05,0.0112311
6.78941e-05,0.011546
