r2,N_GBW
3.61152e-06,1.24099e-06
1e-08,3.43619e-09
4.41168e-06,1.51593e-06
1.68166e-05,5.77847e-06
3.72246e-05,1.2791e-05
6.56359e-05,2.25535e-05
0.00010205,3.50658e-05
0.000146468,5.03279e-05
0.000198889,6.83396e-05
0.000259313,8.91008e-05
0.00032774,0.000112611
0.000404171,0.000138871
0.000488605,0.00016788
0.000581041,0.000199637
0.000681482,0.000234142
0.000789925,0.000271396
0.000906371,0.000311398
0.00103082,0.000354147
0.00116327,0.000399643
0.00130373,0.000447886
0.00145219,0.000498875
0.00160865,0.00055261
0.00177312,0.000609091
0.00194559,0.000668316
0.00212606,0.000730286
0.00231453,0.000795001
0.00251101,0.000862458
0.00271549,0.000932659
0.00292798,0.0010056
0.00314847,0.00108129
0.00337696,0.00115971
0.00361345,0.00124088
0.00385795,0.00132478
0.00411045,0.00141143
0.00437096,0.00150081
0.00463946,0.00159294
0.00491597,0.00168779
0.00520049,0.00178539
0.005493,0.00188572
0.00579352,0.00198878
0.00610205,0.00209458
0.00641857,0.00220311
0.0067431,0.00231437
0.00707564,0.00242837
0.00741617,0.00254509
0.00776471,0.00266454
0.00812125,0.00278672
0.0084858,0.00291163
0.00885835,0.00303926
0.0092389,0.00316962
0.00962746,0.0033027
0.010024,0.00343851
0.0104286,0.00357704
0.0108411,0.00371828
0.0112617,0.00386225
0.0116903,0.00400894
0.0121269,0.00415834
0.0125714,0.00431046
0.013024,0.00446529
0.0134846,0.00462284
0.0139532,0.00478309
0.0144298,0.00494606
0.0149144,0.00511174
0.015407,0.00528012
0.0159076,0.00545122
0.0164162,0.00562501
0.0169328,0.00580151
0.0174574,0.00598072
0.01799,0.00616262
0.0185306,0.00634723
0.0190792,0.00653453
0.0196359,0.00672452
0.0202005,0.00691722
0.0207731,0.0071126
0.0213537,0.00731068
0.0219424,0.00751144
0.022539,0.0077149
0.0231437,0.00792104
0.0237563,0.00812986
0.024377,0.00834137
0.0250056,0.00855556
0.0256423,0.00877243
0.0262869,0.00899198
