r,sigma_dipolo
1.973e-05,8.5832e-08
1.97755e-05,8.62353e-08
1.98211e-05,8.66406e-08
1.98668e-05,8.70477e-08
1.99126e-05,8.74568e-08
1.99585e-05,8.78677e-08
2.00045e-05,8.82806e-08
2.00507e-05,8.86955e-08
2.00969e-05,8.91123e-08
2.01432e-05,8.9531e-08
2.01897e-05,8.99517e-08
2.02362e-05,9.03744e-08
2.02829e-05,9.07991e-08
2.03296e-05,9.12258e-08
2.03765e-05,9.16544e-08
2.04235e-05,9.20851e-08
2.04706e-05,9.25178e-08
2.05178e-05,9.29526e-08
2.05651e-05,9.33894e-08
2.06125e-05,9.38282e-08
2.066e-05,9.42691e-08
2.07077e-05,9.47121e-08
2.07554e-05,9.51571e-08
2.08033e-05,9.56043e-08
2.08512e-05,9.60535e-08
2.08993e-05,9.65049e-08
2.09475e-05,9.69583e-08
2.09958e-05,9.74139e-08
2.10442e-05,9.78717e-08
2.10927e-05,9.83315e-08
2.11414e-05,9.87936e-08
2.11901e-05,9.92578e-08
2.1239e-05,9.97242e-08
2.12879e-05,1.00193e-07
2.1337e-05,1.00664e-07
2.13862e-05,1.01137e-07
2.14355e-05,1.01612e-07
2.1485e-05,1.02089e-07
2.15345e-05,1.02569e-07
2.15841e-05,1.03051e-07
2.16339e-05,1.03535e-07
2.16838e-05,1.04022e-07
2.17338e-05,1.0451e-07
2.17839e-05,1.05001e-07
2.18341e-05,1.05495e-07
2.18845e-05,1.05991e-07
2.19349e-05,1.06489e-07
2.19855e-05,1.06989e-07
2.20362e-05,1.07492e-07
2.2087e-05,1.07997e-07
2.21379e-05,1.08504e-07
2.2189e-05,1.09014e-07
2.22401e-05,1.09526e-07
2.22914e-05,1.10041e-07
2.23428e-05,1.10558e-07
2.23943e-05,1.11077e-07
2.2446e-05,1.11599e-07
2.24977e-05,1.12124e-07
2.25496e-05,1.1265e-07
2.26016e-05,1.1318e-07
2.26537e-05,1.13711e-07
2.27059e-05,1.14246e-07
2.27583e-05,1.14783e-07
2.28108e-05,1.15322e-07
2.28634e-05,1.15864e-07
2.29161e-05,1.16408e-07
2.29689e-05,1.16955e-07
2.30219e-05,1.17505e-07
2.30749e-05,1.18057e-07
2.31281e-05,1.18611e-07
2.31815e-05,1.19169e-07
2.32349e-05,1.19729e-07
2.32885e-05,1.20291e-07
2.33422e-05,1.20856e-07
2.3396e-05,1.21424e-07
2.345e-05,1.21995e-07
2.3504e-05,1.22568e-07
2.35582e-05,1.23144e-07
2.36125e-05,1.23722e-07
2.3667e-05,1.24303e-07
2.37216e-05,1.24887e-07
2.37762e-05,1.25474e-07
2.38311e-05,1.26064e-07
2.3886e-05,1.26656e-07
2.39411e-05,1.27251e-07
2.39963e-05,1.27849e-07
2.40516e-05,1.2845e-07
2.41071e-05,1.29053e-07
2.41627e-05,1.29659e-07
2.42184e-05,1.30269e-07
2.42742e-05,1.30881e-07
2.43302e-05,1.31496e-07
2.43863e-05,1.32113e-07
2.44425e-05,1.32734e-07
2.44989e-05,1.33358e-07
2.45553e-05,1.33984e-07
2.4612e-05,1.34614e-07
2.46687e-05,1.35246e-07
2.47256e-05,1.35882e-07
2.47826e-05,1.3652e-07
2.48397e-05,1.37161e-07
2.4897e-05,1.37806e-07
2.49544e-05,1.38453e-07
2.5012e-05,1.39104e-07
2.50696e-05,1.39757e-07
2.51274e-05,1.40414e-07
2.51854e-05,1.41073e-07
2.52434e-05,1.41736e-07
2.53016e-05,1.42402e-07
2.536e-05,1.43071e-07
2.54185e-05,1.43743e-07
2.54771e-05,1.44418e-07
2.55358e-05,1.45097e-07
2.55947e-05,1.45779e-07
2.56537e-05,1.46463e-07
2.57128e-05,1.47152e-07
2.57721e-05,1.47843e-07
2.58316e-05,1.48537e-07
2.58911e-05,1.49235e-07
2.59508e-05,1.49936e-07
2.60106e-05,1.50641e-07
2.60706e-05,1.51348e-07
2.61307e-05,1.52059e-07
2.6191e-05,1.52774e-07
2.62514e-05,1.53491e-07
2.63119e-05,1.54212e-07
2.63726e-05,1.54937e-07
2.64334e-05,1.55665e-07
2.64943e-05,1.56396e-07
2.65554e-05,1.57131e-07
2.66166e-05,1.57869e-07
2.6678e-05,1.58611e-07
2.67395e-05,1.59356e-07
2.68012e-05,1.60104e-07
2.6863e-05,1.60856e-07
2.69249e-05,1.61612e-07
2.6987e-05,1.62371e-07
2.70492e-05,1.63134e-07
2.71116e-05,1.639e-07
2.71741e-05,1.6467e-07
2.72367e-05,1.65444e-07
2.72995e-05,1.66221e-07
2.73625e-05,1.67002e-07
2.74256e-05,1.67786e-07
2.74888e-05,1.68575e-07
2.75522e-05,1.69367e-07
2.76157e-05,1.70162e-07
2.76794e-05,1.70962e-07
2.77432e-05,1.71765e-07
2.78072e-05,1.72571e-07
2.78713e-05,1.73382e-07
2.79356e-05,1.74197e-07
2.8e-05,1.75015e-07
2.80645e-05,1.75837e-07
2.81292e-05,1.76663e-07
2.81941e-05,1.77493e-07
2.82591e-05,1.78327e-07
2.83243e-05,1.79164e-07
2.83896e-05,1.80006e-07
2.8455e-05,1.80851e-07
2.85206e-05,1.81701e-07
2.85864e-05,1.82555e-07
2.86523e-05,1.83412e-07
2.87184e-05,1.84274e-07
2.87846e-05,1.85139e-07
2.88509e-05,1.86009e-07
2.89175e-05,1.86883e-07
2.89841e-05,1.8776e-07
2.9051e-05,1.88642e-07
2.9118e-05,1.89529e-07
2.91851e-05,1.90419e-07
2.92524e-05,1.91313e-07
2.93198e-05,1.92212e-07
2.93874e-05,1.93115e-07
2.94552e-05,1.94022e-07
2.95231e-05,1.94933e-07
2.95912e-05,1.95849e-07
2.96594e-05,1.96769e-07
2.97278e-05,1.97693e-07
2.97963e-05,1.98622e-07
2.9865e-05,1.99555e-07
2.99339e-05,2.00492e-07
3.00029e-05,2.01434e-07
3.00721e-05,2.0238e-07
3.01414e-05,2.0333e-07
3.02109e-05,2.04285e-07
3.02806e-05,2.05245e-07
3.03504e-05,2.06209e-07
3.04204e-05,2.07178e-07
3.04905e-05,2.08151e-07
3.05608e-05,2.09128e-07
3.06313e-05,2.10111e-07
3.07019e-05,2.11098e-07
3.07727e-05,2.12089e-07
3.08437e-05,2.13085e-07
3.09148e-05,2.14086e-07
3.09861e-05,2.15092e-07
3.10575e-05,2.16102e-07
3.11291e-05,2.17117e-07
3.12009e-05,2.18137e-07
3.12728e-05,2.19161e-07
3.13449e-05,2.20191e-07
3.14172e-05,2.21225e-07
3.14896e-05,2.22264e-07
3.15622e-05,2.23308e-07
3.1635e-05,2.24357e-07
3.1708e-05,2.2541e-07
3.17811e-05,2.26469e-07
3.18543e-05,2.27533e-07
3.19278e-05,2.28602e-07
3.20014e-05,2.29675e-07
3.20752e-05,2.30754e-07
3.21491e-05,2.31838e-07
3.22233e-05,2.32927e-07
3.22976e-05,2.34021e-07
3.2372e-05,2.3512e-07
3.24467e-05,2.36224e-07
3.25215e-05,2.37333e-07
3.25965e-05,2.38448e-07
3.26716e-05,2.39568e-07
3.2747e-05,2.40693e-07
3.28225e-05,2.41824e-07
3.28982e-05,2.42959e-07
3.2974e-05,2.441e-07
3.305e-05,2.45247e-07
3.31262e-05,2.46399e-07
3.32026e-05,2.47556e-07
3.32792e-05,2.48719e-07
3.33559e-05,2.49887e-07
3.34328e-05,2.5106e-07
3.35099e-05,2.52239e-07
3.35872e-05,2.53424e-07
3.36646e-05,2.54614e-07
3.37422e-05,2.5581e-07
3.382e-05,2.57011e-07
3.3898e-05,2.58218e-07
3.39762e-05,2.59431e-07
3.40545e-05,2.6065e-07
3.4133e-05,2.61874e-07
3.42117e-05,2.63104e-07
3.42906e-05,2.64339e-07
3.43697e-05,2.65581e-07
3.44489e-05,2.66828e-07
3.45283e-05,2.68081e-07
3.4608e-05,2.6934e-07
3.46877e-05,2.70605e-07
3.47677e-05,2.71876e-07
3.48479e-05,2.73152e-07
3.49282e-05,2.74435e-07
3.50088e-05,2.75724e-07
3.50895e-05,2.77019e-07
3.51704e-05,2.7832e-07
3.52515e-05,2.79627e-07
3.53328e-05,2.8094e-07
3.54142e-05,2.82259e-07
3.54959e-05,2.83585e-07
3.55777e-05,2.84917e-07
3.56598e-05,2.86255e-07
3.5742e-05,2.87599e-07
3.58244e-05,2.8895e-07
3.5907e-05,2.90307e-07
3.59898e-05,2.9167e-07
3.60728e-05,2.9304e-07
3.61559e-05,2.94416e-07
3.62393e-05,2.95798e-07
3.63229e-05,2.97187e-07
3.64066e-05,2.98583e-07
3.64906e-05,2.99985e-07
3.65747e-05,3.01394e-07
3.6659e-05,3.02809e-07
3.67435e-05,3.04231e-07
3.68283e-05,3.0566e-07
3.69132e-05,3.07095e-07
3.69983e-05,3.08537e-07
3.70836e-05,3.09986e-07
3.71691e-05,3.11442e-07
3.72548e-05,3.12904e-07
3.73407e-05,3.14374e-07
3.74268e-05,3.1585e-07
3.75131e-05,3.17333e-07
3.75996e-05,3.18823e-07
3.76863e-05,3.2032e-07
3.77732e-05,3.21824e-07
3.78603e-05,3.23336e-07
3.79476e-05,3.24854e-07
3.80351e-05,3.26379e-07
3.81228e-05,3.27912e-07
3.82107e-05,3.29452e-07
