W,sigma_GLC,sigma_BG
101.9,585.635,489.389
93.2637,555.311,462.373
85.3594,526.077,436.427
78.1249,497.928,411.54
71.5036,470.857,387.698
65.4435,444.853,364.887
59.897,419.904,343.09
54.8206,395.997,322.288
50.1744,373.115,302.46
45.922,351.24,283.585
42.0299,330.352,265.639
38.4678,310.431,248.597
35.2075,291.453,232.434
32.2236,273.396,217.124
29.4926,256.235,202.638
26.993,239.943,188.948
24.7053,224.495,176.028
22.6114,209.863,163.846
20.6951,196.019,152.376
18.9411,182.936,141.587
17.3358,170.585,131.451
15.8665,158.938,121.939
14.5218,147.966,113.022
13.291,137.643,104.673
12.1646,127.938,96.8634
11.1336,118.825,89.5664
10.19,110.276,82.7555
9.32637,102.265,76.4048
8.53594,94.7651,70.4893
7.81249,87.7503,64.9846
7.15036,81.1958,59.8672
6.54435,75.0771,55.1145
5.9897,69.3707,50.7044
5.48206,64.0536,46.6162
5.01744,59.1038,42.8297
4.5922,54.5,39.3258
4.20299,50.2217,36.0862
3.84678,46.2493,33.0934
3.52075,42.5642,30.3309
3.22236,39.1482,27.7831
