r,x,sigma
0.0001122667774,0.03662337714,1.331124252e-09
0.0001122667774,0.03956538866,1.202432678e-09
0.0001122667774,0.04274373643,1.083052689e-09
0.0001122667774,0.04617740571,9.725104122e-10
0.0001122667774,0.04988690686,8.703616656e-10
0.0001122667774,0.05389439787,7.761693679e-10
0.0001122667774,0.05822381672,6.895227248e-10
0.0001122667774,0.06290102436,6.100217245e-10
0.0001122667774,0.0679539592,5.372908025e-10
0.0001122667774,0.07341280397,4.709594402e-10
0.0001122667774,0.07931016603,4.106755861e-10
0.0001122667774,0.08568127215,3.56096127e-10
0.0001122667774,0.0925641789,3.06888397e-10
0.0001122667774,0.1,2.627295008e-10
0.0001189534067,1e-06,1.566443921e-06
0.0001189534067,1.080331519e-06,1.513231629e-06
0.0001189534067,1.167116191e-06,1.461665375e-06
0.0001189534067,1.260872408e-06,1.411698737e-06
0.0001189534067,1.362160204e-06,1.363286495e-06
0.0001189534067,1.471584602e-06,1.316384589e-06
0.0001189534067,1.589799228e-06,1.270950103e-06
0.0001189534067,1.717510215e-06,1.226941236e-06
0.0001189534067,1.85548042e-06,1.184317268e-06
0.0001189534067,2.004533981e-06,1.143038546e-06
0.0001189534067,2.165561241e-06,1.103066452e-06
0.0001189534067,2.339524065e-06,1.064363374e-06
0.0001189534067,2.527461587e-06,1.026892689e-06
0.0001189534067,2.730496415e-06,9.906187398e-07
0.0001189534067,2.94984134e-06,9.555068062e-07
0.0001189534067,3.186806576e-06,9.215230814e-07
0.0001189534067,3.44280759e-06,8.886346643e-07
0.0001189534067,3.719373553e-06,8.568095178e-07
0.0001189534067,4.018156481e-06,8.260164597e-07
0.0001189534067,4.340941095e-06,7.962251434e-07
0.0001189534067,4.689655487e-06,7.674060246e-07
0.0001189534067,5.066382636e-06,7.3953036e-07
0.0001189534067,5.47337285e-06,7.125701702e-07
0.0001189534067,5.913057205e-06,6.864982409e-07
0.0001189534067,6.388062073e-06,6.612880746e-07
0.0001189534067,6.901224803e-06,6.369139118e-07
0.0001189534067,7.455610675e-06,6.133506745e-07
0.0001189534067,8.054531206e-06,5.905739749e-07
0.0001189534067,8.701563933e-06,5.685600878e-07
0.0001189534067,9.400573782e-06,5.472859398e-07
0.0001189534067,1.015573615e-05,5.267290834e-07
0.0001189534067,1.097156187e-05,5.068676938e-07
0.0001189534067,1.18529241e-05,4.87680546e-07
0.0001189534067,1.28050875e-05,4.691469991e-07
0.0001189534067,1.383373963e-05,4.512469845e-07
0.0001189534067,1.494502495e-05,4.339609903e-07
