r2,N_p_DGLAP
1.97239e-05,1.67197e-07
2.05457e-05,1.81044e-07
2.14018e-05,1.96033e-07
2.22936e-05,2.12258e-07
2.32225e-05,2.29821e-07
2.41901e-05,2.48831e-07
2.51981e-05,2.69408e-07
2.6248e-05,2.91679e-07
2.73417e-05,3.15784e-07
2.8481e-05,3.41873e-07
2.96677e-05,3.70108e-07
3.09039e-05,4.00666e-07
3.21916e-05,4.33735e-07
3.35329e-05,4.69522e-07
3.49302e-05,5.08249e-07
3.63856e-05,5.50155e-07
3.79017e-05,5.95502e-07
3.9481e-05,6.44569e-07
4.11261e-05,6.97661e-07
4.28397e-05,7.55105e-07
4.46248e-05,8.17256e-07
4.64842e-05,8.84499e-07
4.84211e-05,9.57248e-07
5.04387e-05,1.03595e-06
5.25403e-05,1.12109e-06
5.47296e-05,1.21319e-06
5.701e-05,1.31283e-06
5.93855e-05,1.4206e-06
6.186e-05,1.53717e-06
6.44375e-05,1.66325e-06
6.71225e-05,1.79962e-06
6.99193e-05,1.94712e-06
7.28327e-05,2.10663e-06
7.58675e-05,2.27914e-06
7.90287e-05,2.46569e-06
8.23216e-05,2.66742e-06
8.57518e-05,2.88557e-06
8.93249e-05,3.12145e-06
9.30468e-05,3.37649e-06
9.69239e-05,3.65224e-06
0.000100962,3.95038e-06
0.000105169,4.2727e-06
0.000109551,4.62115e-06
0.000114116,4.99783e-06
0.000118871,5.40502e-06
0.000123824,5.84517e-06
0.000128984,6.32091e-06
0.000134358,6.83511e-06
0.000139957,7.39085e-06
0.000145788,7.99145e-06
0.000151863,8.64051e-06
0.000158191,9.34191e-06
0.000164782,1.00998e-05
0.000171648,1.09188e-05
0.0001788,1.18036e-05
0.000186251,1.27596e-05
0.000194011,1.37924e-05
0.000202095,1.49082e-05
0.000210516,1.61135e-05
0.000219288,1.74154e-05
0.000228425,1.88217e-05
0.000237943,2.03405e-05
0.000247858,2.19809e-05
0.000258185,2.37524e-05
0.000268943,2.56654e-05
0.00028015,2.7731e-05
0.000291823,2.99615e-05
0.000303982,3.23696e-05
0.000316649,3.49695e-05
0.000329843,3.77761e-05
0.000343586,4.08059e-05
0.000357903,4.40762e-05
0.000372816,4.7606e-05
0.00038835,5.14155e-05
0.000404532,5.55267e-05
0.000421388,5.99631e-05
0.000438946,6.47502e-05
0.000457236,6.99152e-05
0.000476288,7.54876e-05
0.000496134,8.14991e-05
0.000516806,8.79838e-05
0.00053834,9.49784e-05
0.000560772,0.000102522
0.000584138,0.000110662
0.000608478,0.000119423
0.000633831,0.000128768
0.000660242,0.000138829
0.000687753,0.000149663
0.00071641,0.000161328
0.000746261,0.000173886
0.000777356,0.000187404
0.000809746,0.000201954
0.000843487,0.000217613
0.000878633,0.000234463
0.000915243,0.000252591
0.000953379,0.000272094
0.000993105,0.000293071
0.00103448,0.000315633
0.00107759,0.000339894
0.00112249,0.000365979
0.00116926,0.000394022
0.00121798,0.000424165
0.00126873,0.000456559
0.0013216,0.000491369
0.00137667,0.000528768
0.00143403,0.000568942
0.00149378,0.000612091
0.00155602,0.000658426
0.00162086,0.000708174
0.0016884,0.000761577
0.00175875,0.000818893
0.00183203,0.000880398
0.00190837,0.000946385
0.00198789,0.00101717
0.00207072,0.00109308
0.002157,0.00117447
0.00224688,0.00126173
0.0023405,0.00135524
0.00243802,0.00145545
0.00253961,0.0015628
0.00264543,0.00167778
0.00275566,0.00180089
0.00287048,0.00193269
0.00299008,0.00207375
0.00311467,0.00222468
0.00324445,0.00238612
0.00337964,0.00255877
0.00352047,0.00274335
0.00366716,0.00294063
0.00381996,0.00315141
0.00397913,0.00337655
0.00414493,0.00361695
0.00431764,0.00387357
0.00449754,0.00414741
0.00468494,0.00443951
0.00488016,0.00475282
0.0050835,0.00508727
0.00529532,0.00544383
0.00551596,0.00582383
0.0057458,0.00622863
0.00598521,0.00665969
0.0062346,0.00711851
0.00649439,0.00760667
0.00676499,0.00812581
0.00704687,0.00867763
0.0073405,0.00926392
0.00764636,0.00988651
0.00796497,0.0105473
0.00829685,0.0112483
0.00864256,0.0119915
0.00900268,0.012779
0.0093778,0.013613
0.00976855,0.0144956
0.0101756,0.0154291
0.0105996,0.0164158
0.0110412,0.017458
0.0115013,0.0185581
0.0119805,0.0197185
0.0124797,0.0209414
0.0129997,0.0222293
0.0135414,0.0235846
0.0141056,0.0250095
0.0146934,0.0265064
0.0153056,0.0280774
0.0159434,0.0297248
0.0166077,0.0314505
0.0172997,0.0332565
0.0180205,0.0351446
0.0187714,0.0371163
0.0195536,0.0391733
0.0203683,0.0413166
0.021217,0.0435477
0.0221011,0.0458667
0.023022,0.0482656
0.0239813,0.050718
0.0249805,0.0532517
0.0260214,0.0558677
0.0271057,0.0585635
0.0282351,0.0613375
0.0294116,0.0641874
0.0306371,0.0671106
0.0319137,0.0701041
0.0332434,0.0731647
0.0346286,0.0762886
0.0360715,0.0794722
0.0375745,0.0827111
0.0391402,0.0860014
0.0407711,0.0893386
0.0424699,0.0927188
0.0442395,0.096138
0.0460829,0.0995927
0.048003,0.10308
0.0500032,0.106598
0.0520867,0.110146
0.0542571,0.113724
0.0565178,0.117334
0.0588728,0.12098
0.0613259,0.124669
0.0638812,0.12841
0.066543,0.132217
0.0693157,0.136105
0.0722039,0.140095
0.0752125,0.144213
0.0783464,0.148495
0.0816109,0.153024
0.0850115,0.157793
0.0885537,0.16285
0.0922435,0.168253
0.0960871,0.174064
0.100091,0.180356
0.104261,0.187207
0.108606,0.194701
0.113131,0.202929
0.117845,0.211987
0.122755,0.221971
0.12787,0.232979
0.133198,0.245111
0.138748,0.258451
0.14453,0.273074
0.150552,0.289044
0.156825,0.306407
0.16336,0.325188
0.170166,0.345389
0.177257,0.366988
0.184643,0.38994
0.192336,0.414175
0.200351,0.439606
0.208699,0.466124
0.217395,0.493609
0.226453,0.521923
0.235889,0.550918
0.245718,0.580431
0.255956,0.610287
0.266621,0.640296
0.277731,0.670257
0.289303,0.699953
0.301358,0.729159
0.313915,0.757643
0.326995,0.785172
0.34062,0.811518
0.354813,0.836463
0.369597,0.85981
0.384997,0.881388
0.401039,0.901062
0.41775,0.918736
0.435156,0.934362
0.453288,0.947937
0.472176,0.95951
0.49185,0.969177
0.512345,0.977075
0.533693,0.983373
0.555931,0.988265
0.579095,0.99196
0.603224,0.994666
0.628359,0.996583
0.654542,0.997892
0.681815,0.998752
0.710225,0.999293
0.739818,0.999619
0.770645,0.999805
0.802756,0.999906
0.836205,0.999957
0.871047,0.999982
0.907342,0.999993
0.945149,0.999997
0.984531,0.999999
1.02555,1
1.06829,1
1.1128,1
1.15917,1
1.20747,1
1.25778,1
1.31019,1
1.36478,1
1.42165,1
1.48088,1
1.54259,1
1.60687,1
1.67382,1
1.74356,1
1.81622,1
1.89189,1
1.97072,1
2.05284,1
2.13838,1
2.22748,1
