W,sigma_GLC,sigma_BG
25,1342.32,1407.85
26.2387,1365.49,1431.82
27.5387,1388.5,1455.63
28.9032,1411.35,1479.27
30.3352,1434.05,1502.74
31.8382,1456.59,1526.05
33.4157,1478.98,1549.21
35.0714,1501.21,1572.2
36.8091,1523.28,1595.03
38.6328,1545.2,1617.71
40.547,1566.97,1640.22
42.5559,1588.58,1662.57
44.6644,1610.03,1684.76
46.8774,1631.32,1706.79
49.2001,1652.46,1728.66
51.6378,1673.43,1750.36
54.1963,1694.24,1771.89
56.8815,1714.88,1793.26
59.6998,1735.36,1814.45
62.6577,1755.67,1835.48
65.7622,1775.81,1856.33
69.0206,1795.77,1877
72.4403,1815.56,1897.5
76.0295,1835.18,1917.82
79.7965,1854.62,1937.96
83.7502,1873.87,1957.91
87.8997,1892.95,1977.68
92.2549,1911.84,1997.27
96.8258,1930.55,2016.66
101.623,1949.07,2035.87
106.658,1967.41,2054.88
111.943,1985.55,2073.7
117.489,2003.5,2092.32
123.311,2021.27,2110.75
129.42,2038.83,2128.99
135.833,2056.2,2147.02
142.563,2073.38,2164.85
149.626,2090.36,2182.48
157.04,2107.14,2199.91
164.821,2123.73,2217.14
172.987,2140.11,2234.16
181.558,2156.3,2250.99
190.553,2172.28,2267.6
199.995,2188.07,2284.01
209.904,2203.65,2300.22
220.304,2219.04,2316.22
231.219,2234.22,2332.01
242.676,2249.21,2347.6
254.699,2263.99,2362.98
267.319,2278.58,2378.16
280.564,2292.96,2393.13
294.465,2307.15,2407.9
309.055,2321.13,2422.46
324.367,2334.92,2436.82
340.439,2348.51,2450.98
357.306,2361.91,2464.94
375.01,2375.11,2478.69
393.59,2388.11,2492.24
413.091,2400.93,2505.59
433.559,2413.54,2518.75
455.04,2425.97,2531.7
477.586,2438.21,2544.46
501.249,2450.26,2557.03
526.084,2462.12,2569.4
552.15,2473.79,2581.58
579.507,2485.28,2593.57
608.22,2496.59,2605.36
638.356,2507.71,2616.97
669.984,2518.66,2628.4
703.18,2529.43,2639.64
738.02,2540.01,2650.69
774.587,2550.43,2661.56
812.965,2560.67,2672.26
853.245,2570.74,2682.77
895.52,2580.64,2693.11
939.891,2590.37,2703.28
986.459,2599.93,2713.27
1035.34,2609.33,2723.09
1086.63,2618.57,2732.74
1140.47,2627.64,2742.23
1196.98,2636.56,2751.55
1256.29,2645.32,2760.7
1318.53,2653.93,2769.7
1383.86,2662.38,2778.54
1452.43,2670.68,2787.22
1524.39,2678.83,2795.74
1599.92,2686.84,2804.11
1679.19,2694.7,2812.33
1762.39,2702.42,2820.41
1849.71,2709.99,2828.33
1941.35,2717.43,2836.11
2037.54,2724.73,2843.75
2138.5,2731.89,2851.24
2244.45,2738.92,2858.6
2355.66,2745.82,2865.82
2472.37,2752.59,2872.9
2594.87,2759.23,2879.85
2723.44,2765.75,2886.67
2858.38,2772.14,2893.37
3000,2778.42,2899.93
