r,N_gbw
2.45692e-06,8.39068e-07
2.52582e-06,8.626e-07
2.59666e-06,8.86791e-07
2.66948e-06,9.11661e-07
2.74434e-06,9.37228e-07
2.82131e-06,9.63512e-07
2.90043e-06,9.90534e-07
2.98177e-06,1.01831e-06
3.0654e-06,1.04687e-06
3.15136e-06,1.07623e-06
3.23974e-06,1.10641e-06
3.3306e-06,1.13744e-06
3.42401e-06,1.16934e-06
3.52003e-06,1.20214e-06
3.61875e-06,1.23585e-06
3.72024e-06,1.27051e-06
3.82457e-06,1.30614e-06
3.93183e-06,1.34277e-06
4.0421e-06,1.38043e-06
4.15546e-06,1.41914e-06
4.27199e-06,1.45894e-06
4.3918e-06,1.49986e-06
4.51497e-06,1.54192e-06
4.64159e-06,1.58516e-06
4.77176e-06,1.62962e-06
4.90558e-06,1.67532e-06
5.04316e-06,1.7223e-06
5.18459e-06,1.7706e-06
5.32999e-06,1.82026e-06
5.47947e-06,1.87131e-06
5.63314e-06,1.92379e-06
5.79112e-06,1.97774e-06
5.95353e-06,2.03321e-06
6.1205e-06,2.09023e-06
6.29215e-06,2.14885e-06
6.46861e-06,2.20911e-06
6.65002e-06,2.27106e-06
6.83652e-06,2.33476e-06
7.02824e-06,2.40023e-06
7.22535e-06,2.46755e-06
7.42798e-06,2.53675e-06
7.6363e-06,2.60789e-06
7.85046e-06,2.68103e-06
8.07062e-06,2.75622e-06
8.29696e-06,2.83351e-06
8.52964e-06,2.91298e-06
8.76886e-06,2.99467e-06
9.01478e-06,3.07866e-06
9.26759e-06,3.165e-06
9.5275e-06,3.25376e-06
9.7947e-06,3.34501e-06
1.00694e-05,3.43882e-06
1.03518e-05,3.53526e-06
1.06421e-05,3.6344e-06
1.09405e-05,3.73633e-06
1.12474e-05,3.84111e-06
1.15628e-05,3.94884e-06
1.18871e-05,4.05958e-06
1.22204e-05,4.17343e-06
1.25632e-05,4.29047e-06
1.29155e-05,4.4108e-06
1.32777e-05,4.5345e-06
1.36501e-05,4.66167e-06
1.40329e-05,4.7924e-06
1.44264e-05,4.9268e-06
1.4831e-05,5.06497e-06
1.5247e-05,5.20702e-06
1.56746e-05,5.35305e-06
1.61141e-05,5.50317e-06
1.65661e-05,5.65751e-06
1.70307e-05,5.81617e-06
1.75083e-05,5.97928e-06
1.79993e-05,6.14697e-06
1.85041e-05,6.31936e-06
1.9023e-05,6.49658e-06
1.95565e-05,6.67878e-06
2.0105e-05,6.86608e-06
2.06688e-05,7.05864e-06
2.12485e-05,7.25659e-06
2.18444e-05,7.4601e-06
2.2457e-05,7.66932e-06
2.30868e-05,7.8844e-06
2.37342e-05,8.10552e-06
2.43999e-05,8.33283e-06
2.50842e-05,8.56652e-06
2.57876e-05,8.80677e-06
2.65108e-05,9.05375e-06
2.72543e-05,9.30766e-06
2.80187e-05,9.56869e-06
2.88044e-05,9.83704e-06
2.96123e-05,1.01129e-05
3.04427e-05,1.03965e-05
3.12965e-05,1.06881e-05
3.21742e-05,1.09878e-05
3.30765e-05,1.1296e-05
3.40041e-05,1.16128e-05
3.49578e-05,1.19385e-05
3.59381e-05,1.22733e-05
3.6946e-05,1.26175e-05
3.79822e-05,1.29713e-05
3.90474e-05,1.33351e-05
4.01424e-05,1.37091e-05
4.12682e-05,1.40935e-05
4.24256e-05,1.44888e-05
4.36154e-05,1.48951e-05
4.48386e-05,1.53128e-05
4.6096e-05,1.57423e-05
4.73888e-05,1.61837e-05
4.87178e-05,1.66376e-05
5.00841e-05,1.71042e-05
5.14887e-05,1.75839e-05
5.29327e-05,1.8077e-05
5.44171e-05,1.8584e-05
