W,sigma_GLC,sigma_BG
25,27.5076,26.9138
26.2387,28.8931,28.3107
27.5387,30.3037,29.7368
28.9032,31.7403,31.1933
30.3352,33.2042,32.6818
31.8382,22.311,21.994
33.4157,23.2899,22.9951
35.0714,24.289,24.0198
36.8091,25.3093,25.0692
38.6328,26.3515,26.1445
40.547,27.4169,27.2467
42.5559,28.5063,28.3771
44.6644,29.6207,29.5369
46.8774,30.7613,30.7274
49.2001,31.9289,31.9499
51.6378,33.1248,33.2056
54.1963,34.3499,34.4958
56.8815,35.6054,35.8219
59.6998,36.8921,37.1852
62.6577,38.2114,38.5871
65.7622,39.5641,40.0289
69.0206,40.9514,41.5121
72.4403,42.3743,43.038
76.0295,43.8339,44.6081
79.7965,45.3313,46.2238
83.7502,46.8676,47.8866
87.8997,48.4437,49.5979
92.2549,50.0609,51.3592
96.8258,51.7201,53.1719
101.623,53.4224,55.0377
106.658,55.1689,56.9579
111.943,56.9606,58.9342
117.489,58.7985,60.9681
123.311,60.6838,63.061
129.42,62.6175,65.2147
135.833,64.6005,67.4305
142.563,66.6339,69.7103
149.626,68.7188,72.0554
157.04,70.8562,74.4676
164.821,73.047,76.9483
172.987,75.2922,79.4994
181.558,77.5929,82.1222
190.553,79.95,84.8186
199.995,82.3645,87.59
209.904,84.8373,90.4381
220.304,87.3693,93.3646
231.219,89.9615,96.3711
242.676,92.6148,99.4592
254.699,95.3301,102.631
267.319,98.1082,105.887
280.564,100.95,109.229
294.465,103.856,112.66
309.055,106.828,116.18
324.367,109.866,119.792
340.439,112.97,123.496
357.306,116.142,127.295
375.01,119.383,131.19
393.59,122.692,135.182
413.091,126.072,139.273
433.559,129.521,143.465
455.04,133.041,147.758
477.586,136.633,152.155
501.249,140.297,156.656
526.084,144.033,161.264
552.15,147.843,165.979
579.507,151.725,170.802
608.22,155.682,175.736
638.356,159.712,180.78
669.984,163.817,185.937
703.18,167.997,191.208
738.02,172.252,196.593
774.587,176.582,202.094
812.965,180.987,207.711
853.245,185.468,213.446
895.52,190.024,219.299
939.891,194.655,225.272
986.459,199.362,231.365
1035.34,204.145,237.578
1086.63,209.003,243.913
1140.47,213.936,250.369
1196.98,218.943,256.948
1256.29,224.026,263.65
1318.53,229.183,270.475
1383.86,234.413,277.424
1452.43,239.717,284.496
1524.39,245.095,291.693
1599.92,250.545,299.013
1679.19,256.066,306.457
1762.39,261.66,314.024
1849.71,267.323,321.716
1941.35,273.057,329.531
2037.54,278.861,337.468
2138.5,284.732,345.528
2244.45,290.671,353.711
2355.66,296.677,362.014
2472.37,302.749,370.439
2594.87,308.885,378.983
2723.44,315.085,387.646
2858.38,321.347,396.428
3000,327.671,405.326
