t,dsigma_dt_GLC,dsigma_dt_BG
0.134228,162.859,192.525
0.161074,145.245,172.011
0.0536913,229.322,269.714
0.107383,182.574,215.453
0.0268456,256.939,301.711
0.187919,129.509,153.66
0.0805369,204.636,241.078
0,287.832,337.459
0.241611,102.902,122.565
0.214765,115.454,137.246
0.322148,72.7574,87.2038
0.268456,91.6943,109.437
0.348993,64.7868,77.8226
0.295302,81.6886,97.6984
0.402685,51.3302,61.9443
0.375839,57.6748,69.4377
0.483221,36.1255,43.9234
0.456376,40.6248,49.2669
0.510067,32.115,39.1511
0.42953,45.6712,55.2488
0.536913,28.5409,34.8894
0.61745,19.9939,24.6562
0.563758,25.3565,31.0844
0.590604,22.52,27.6878
0.644295,17.745,21.951
0.671141,15.7432,19.5374
0.751678,10.9681,13.7524
0.697987,13.9619,17.3845
0.724832,12.3773,15.4644
0.778523,9.71515,12.2262
0.805369,8.60159,10.866
0.885906,5.95312,7.6127
0.85906,6.7334,8.57429
0.912752,5.26057,6.75651
0.832215,7.61219,9.654
1.02013,3.18988,4.17611
0.939597,4.64611,5.99437
0.966443,4.10115,5.31614
0.993289,3.61802,4.71275
1.04698,2.81064,3.69897
1.07383,2.47488,3.27487
1.10067,2.17773,2.89803
1.15436,1.68254,2.26611
1.12752,1.9149,2.56332
1.18121,1.47722,2.00231
1.26174,0.9947,1.37662
1.2349,1.13586,1.56066
1.20805,1.2959,1.76825
1.28859,0.870265,1.21353
1.31544,0.760647,1.06907
1.34228,0.664148,0.941169
1.42282,0.439105,0.639377
1.39597,0.504642,0.727876
1.36913,0.57926,0.827986
1.44966,0.381592,0.561184
1.47651,0.331165,0.492137
1.50336,0.286991,0.431202
1.5302,0.248334,0.377459
1.55705,0.214539,0.330092
1.58389,0.185027,0.288372
1.61074,0.159285,0.251651
1.66443,0.117346,0.190976
1.69128,0.100393,0.166056
1.63758,0.136859,0.219356
1.71812,0.085685,0.144193
1.74497,0.0729446,0.125031
1.8255,0.0442239,0.0807489
1.79866,0.0524171,0.0935742
1.77181,0.0619272,0.108252
1.85235,0.0371801,0.0695549
1.87919,0.0311381,0.0597967
1.93289,0.0215561,0.0439147
1.90604,0.0259681,0.051301
1.95973,0.0178021,0.0375023
2.06711,0.00776348,0.0193981
1.98658,0.0146181,0.0319441
2.01342,0.0119272,0.0271344
2.09396,0.0061803,0.0163167
2.04027,0.00966195,0.0229798
2.12081,0.00486747,0.0136717
2.14765,0.00378588,0.0114068
2.1745,0.00290147,0.00947276
2.20134,0.00218467,0.00782594
2.28188,0.000800216,0.0042505
2.30872,0.000529703,0.0034155
2.22819,0.00160983,0.00642824
2.25503,0.00115474,0.00524619
2.33557,0.000328966,0.00271876
2.36242,0.000185786,0.00214069
2.38926,8.97035e-05,0.00166422
2.41611,3.17919e-05,0.00127448
2.4698,1.27249e-06,0.00070514
2.44295,4.45943e-06,0.000958526
2.49664,1.68017e-05,0.000504589
2.52349,4.64866e-05,0.000348456
2.55034,8.65177e-05,0.000229475
2.57718,0.000133732,0.000141387
2.60403,0.000185522,7.88135e-05
2.65772,0.000294719,1.24433e-05
2.63087,0.000239759,3.71453e-05
2.68456,0.000349027,1.35207e-06
2.71141,0.000401604,1.02418e-06
2.73826,0.000451617,9.05266e-06
2.79195,0.000541648,4.24082e-05
2.7651,0.000498447,2.34123e-05
2.81879,0.000580921,6.46302e-05
2.84564,0.000616088,8.89134e-05
2.87248,0.00064707,0.000114304
2.89933,0.000673869,0.000140027
2.92617,0.00069655,0.000165465
2.95302,0.000715231,0.000190126
2.97987,0.000730067,0.000213635
3.00671,0.000741242,0.000235707
3.03356,0.000748965,0.000256136
3.08725,0.000754943,0.000291562
3.0604,0.000753456,0.000274783
3.11409,0.000753662,0.000306432
3.16779,0.000743726,0.00033046
3.14094,0.000749846,0.00031939
3.19463,0.000735528,0.00033969
3.22148,0.000725469,0.000347148
3.24832,0.000713761,0.000352914
3.27517,0.000700602,0.000357077
3.30201,0.000686181,0.000359735
3.32886,0.000670678,0.00036099
3.38255,0.000637078,0.000359708
3.3557,0.000654258,0.000360946
3.4094,0.00061928,0.000357378
3.43624,0.000600999,0.00035406
3.46309,0.000582356,0.00034985
3.48993,0.000563462,0.000344846
3.51678,0.000544419,0.000339136
3.54362,0.000525318,0.000332809
3.59732,0.000487267,0.000318622
3.57047,0.000506243,0.000325945
3.62416,0.000468455,0.000310911
3.65101,0.000449866,0.000302878
3.67785,0.000431551,0.000294586
3.7047,0.000413554,0.000286092
3.73154,0.000395914,0.000277449
3.75839,0.000378662,0.000268703
3.78523,0.000361827,0.000259898
3.81208,0.000345431,0.000251075
3.86577,0.000314025,0.000233509
3.83893,0.000329493,0.000242268
3.94631,0.000270544,0.000207788
3.91946,0.000284545,0.000216245
3.89262,0.00029904,0.000224826
3.97315,0.000257039,0.000199473
4,0.00024403,0.000191318
