W,sigma_GLC,sigma_BG
25,24.6132,24.0855
26.2387,25.9493,25.4336
27.5387,27.317,26.8176
28.9032,28.7174,28.239
30.3352,30.1519,29.6994
31.8382,20.3338,20.0628
33.4157,21.3028,21.0553
35.0714,22.2966,22.0763
36.8091,23.316,23.127
38.6328,24.3623,24.2086
40.547,25.4365,25.3226
42.5559,26.5396,26.4703
44.6644,27.6728,27.653
46.8774,28.8373,28.8721
49.2001,30.0342,30.1293
51.6378,31.2647,31.4259
54.1963,32.53,32.7634
56.8815,33.8313,34.1435
59.6998,35.1697,35.5677
62.6577,36.5466,37.0376
65.7622,37.9631,38.5548
69.0206,39.4205,40.121
72.4403,40.92,41.738
76.0295,42.4629,43.4072
79.7965,44.0504,45.1307
83.7502,45.6838,46.9099
87.8997,47.3643,48.7469
92.2549,49.0932,50.6432
96.8258,50.8718,52.6009
101.623,52.7013,54.6216
106.658,54.5829,56.7073
111.943,56.5179,58.8598
117.489,58.5076,61.0811
123.311,60.5532,63.373
129.42,62.656,65.7374
135.833,64.817,68.1764
142.563,67.0377,70.6918
149.626,69.3192,73.2856
157.04,71.6626,75.9598
164.821,74.0692,78.7163
172.987,76.5402,81.5572
181.558,79.0766,84.4844
190.553,81.6797,87.5
199.995,84.3505,90.6058
209.904,87.0901,93.804
220.304,89.8997,97.0964
231.219,92.7803,100.485
242.676,95.7328,103.972
254.699,98.7583,107.559
267.319,101.858,111.249
280.564,105.032,115.042
294.465,108.282,118.941
309.055,111.609,122.949
324.367,115.013,127.065
340.439,118.496,131.294
357.306,122.058,135.636
375.01,125.699,140.093
393.59,129.421,144.667
413.091,133.224,149.359
433.559,137.109,154.172
455.04,141.076,159.107
477.586,145.125,164.164
501.249,149.258,169.347
526.084,153.475,174.656
552.15,157.775,180.093
579.507,162.159,185.658
608.22,166.628,191.354
638.356,171.181,197.182
669.984,175.818,203.142
703.18,180.541,209.235
738.02,185.348,215.463
774.587,190.24,221.827
812.965,195.216,228.326
853.245,200.276,234.962
895.52,205.42,241.736
939.891,210.648,248.648
986.459,215.959,255.698
1035.34,221.353,262.887
1086.63,226.829,270.215
1140.47,232.387,277.682
1196.98,238.026,285.288
1256.29,243.745,293.032
1318.53,249.543,300.916
1383.86,255.42,308.938
1452.43,261.374,317.097
1524.39,267.405,325.394
1599.92,273.512,333.828
1679.19,279.693,342.398
1762.39,285.948,351.103
1849.71,292.274,359.941
1941.35,298.671,368.913
2037.54,305.137,378.016
2138.5,311.671,387.249
2244.45,318.272,396.611
2355.66,324.937,406.1
2472.37,331.666,415.715
2594.87,338.455,425.453
2723.44,345.305,435.312
2858.38,352.213,445.291
3000,359.177,455.388
