t,dsigma_dt_GLC,dsigma_dt_BG
0.214765,6570.06,9968.22
0.107383,12395.6,19000
0.241611,5575.25,8434.1
0.0268456,19567.1,30184.8
0.161074,9061.62,13822.7
0,22710.2,35101.4
0.0536913,16833,25914.5
0.187919,7724.36,11752
0.0805369,14457.4,22209.8
0.134228,10608.6,16222.6
0.268456,4719.29,7117.01
0.322148,3353.81,5023.17
0.375839,2354.09,3498.19
0.402685,1961.88,2902.57
0.295302,3984.1,5988.38
0.348993,2814.53,4199.49
0.42953,1628.6,2398.05
0.510067,906.396,1312.13
0.456376,1346.15,1971.93
0.483221,1107.46,1613.16
0.536913,737.597,1060.5
0.590604,478.834,677.48
0.61745,381.349,534.414
0.563758,596.419,851.038
0.644295,300.945,417.17
0.671141,235.014,321.722
0.697987,181.309,244.608
0.751678,103.11,133.927
0.724832,137.894,182.858
0.778523,75.5311,95.6414
0.805369,53.9407,66.1471
0.85906,24.7268,27.4733
0.832215,37.3004,43.8694
0.885906,15.4708,15.8314
0.912752,8.89901,7.99466
0.966443,1.76005,0.686776
0.939597,4.47794,3.16767
0.993289,0.3715,0.00105004
1.02013,0.00162635,0.65583
1.04698,0.393754,2.27842
1.07383,1.33721,4.56572
1.10067,2.66041,7.27351
1.12752,4.2249,10.2072
1.18121,7.65911,16.1756
1.15436,5.92014,13.2139
1.2349,11.0152,21.6316
1.20805,9.37445,19.0032
1.28859,13.9341,26.1249
1.26174,12.5438,24.0153
1.31544,15.1688,27.9438
1.34228,16.2381,29.4658
1.36913,17.138,30.6928
1.39597,17.8692,31.6329
1.44966,18.8451,32.7068
1.42282,18.4359,32.2988
1.50336,19.2281,32.8249
1.47651,19.1057,32.8755
1.5302,19.2235,32.5761
1.55705,19.1036,32.15
1.58389,18.8804,31.5676
1.61074,18.5657,30.8493
1.63758,18.1711,30.0148
1.66443,17.7076,29.0826
1.69128,17.186,28.0701
1.71812,16.6162,26.9936
1.74497,16.0074,25.868
1.77181,15.3683,24.707
1.79866,14.7068,23.5231
1.8255,14.03,22.3273
1.85235,13.3444,21.1295
1.87919,12.6558,19.9385
1.90604,11.9692,18.7619
1.93289,11.2892,17.6064
1.95973,10.6197,16.4775
1.98658,9.96408,15.3801
2.04027,8.70515,13.2944
2.01342,9.32509,14.318
2.09396,7.52973,11.3719
2.06711,8.10618,12.3117
2.12081,6.97698,10.4761
2.14765,6.4488,9.62529
2.1745,5.94576,8.81974
2.20134,5.46818,8.05944
2.22819,5.01615,7.34405
2.25503,4.58958,6.67293
2.28188,4.18817,6.04518
2.30872,3.81153,5.45972
2.38926,2.82417,3.94374
2.33557,3.45909,4.91528
2.36242,3.13022,4.41046
2.41611,2.54014,3.51353
2.44295,2.27728,3.11816
2.4698,2.03467,2.75595
2.49664,1.81141,2.42516
2.52349,1.60653,2.12407
2.55034,1.41908,1.85096
2.63087,0.951828,1.18267
2.57718,1.24811,1.60413
2.65772,0.824655,1.00481
2.60403,1.09267,1.38191
2.68456,0.710258,0.846799
2.71141,0.607766,0.707158
2.73826,0.516336,0.584464
2.7651,0.435156,0.477355
2.81879,0.300464,0.304771
2.79195,0.363447,0.384534
2.92617,0.122112,0.0939289
2.84564,0.245496,0.236898
2.89933,0.156942,0.132482
2.87248,0.197869,0.179814
2.95302,0.0928093,0.0632451
2.97987,0.0684998,0.0395806
3.00671,0.0486828,0.022145
3.03356,0.0328907,0.0102048
3.0604,0.0206878,0.00308162
3.08725,0.0116692,0.000149698
3.11409,0.00545994,0.000833545
3.14094,0.00171329,0.00460564
3.16779,0.000109899,0.0109839
3.19463,0.000356339,0.0195295
3.22148,0.00218382,0.029844
3.24832,0.00534691,0.0415674
3.30201,0.0148071,0.0679781
3.27517,0.00962221,0.0543756
3.3557,0.0271916,0.0965585
3.32886,0.0207185,0.0821157
3.38255,0.0340787,0.111104
3.43624,0.0485827,0.139814
3.4094,0.0412481,0.125574
3.46309,0.0559795,0.153691
3.48993,0.0633479,0.167092
3.51678,0.0706093,0.179921
3.57047,0.0845492,0.203561
3.54362,0.0776957,0.192099
3.62416,0.0973697,0.224149
3.59732,0.0911207,0.214257
3.65101,0.103263,0.233207
3.67785,0.108774,0.241416
3.7047,0.113884,0.248765
3.73154,0.118576,0.255252
3.75839,0.122842,0.260885
3.78523,0.126677,0.265673
3.83893,0.133049,0.272788
3.81208,0.130078,0.269634
3.89262,0.137721,0.276778
3.86577,0.135594,0.27516
3.91946,0.139441,0.277672
3.94631,0.140764,0.277876
3.97315,0.141705,0.277423
4,0.142279,0.276349
