r2,N_IIM
3.61152e-06,1.62036e-76
1e-08,6.05457e-13
4.41168e-06,1.32528e-07
1.68166e-05,1.24993e-06
3.72246e-05,4.38232e-06
6.56359e-05,1.03541e-05
0.00010205,1.98054e-05
0.000146468,3.32346e-05
0.000198889,5.10322e-05
0.000259313,7.35051e-05
0.00032774,0.000100895
0.000404171,0.000133392
0.000488605,0.000171144
0.000581041,0.000214265
0.000681482,0.000262842
0.000789925,0.000316938
0.000906371,0.000376599
0.00103082,0.000441854
0.00116327,0.000512717
0.00130373,0.000589194
0.00145219,0.00067128
0.00160865,0.000758962
0.00177312,0.000852219
0.00194559,0.000951028
0.00212606,0.00105536
0.00231453,0.00116517
0.00251101,0.00128044
0.00271549,0.00140111
0.00292798,0.00152715
0.00314847,0.0016585
0.00337696,0.00179513
0.00361345,0.00193698
0.00385795,0.00208401
0.00411045,0.00223616
0.00437096,0.00239338
0.00463946,0.00255562
0.00491597,0.00272284
0.00520049,0.00289496
0.005493,0.00307195
0.00579352,0.00325375
0.00610205,0.00344031
0.00641857,0.00363157
0.0067431,0.00382748
0.00707564,0.004028
0.00741617,0.00423306
0.00776471,0.00444261
0.00812125,0.00465662
0.0084858,0.00487501
0.00885835,0.00509775
0.0092389,0.00532478
0.00962746,0.00555605
0.010024,0.00579152
0.0104286,0.00603113
0.0108411,0.00627484
0.0112617,0.00652259
0.0116903,0.00677435
0.0121269,0.00703006
0.0125714,0.00728969
0.013024,0.00755317
0.0134846,0.00782047
0.0139532,0.00809155
0.0144298,0.00836636
0.0149144,0.00864485
0.015407,0.00892699
0.0159076,0.00921272
0.0164162,0.00950202
0.0169328,0.00979483
0.0174574,0.0100911
0.01799,0.0103908
0.0185306,0.010694
0.0190792,0.0110004
0.0196359,0.0113102
0.0202005,0.0116233
0.0207731,0.0119396
0.0213537,0.0122592
0.0219424,0.0125819
0.022539,0.0129077
0.0231437,0.0132366
0.0237563,0.0135686
0.024377,0.0139036
0.0250056,0.0142416
0.0256423,0.0145826
0.0262869,0.0149265
0.0269396,0.0152733
0.0276002,0.0156229
0.0282689,0.0159754
0.0289456,0.0163306
0.0296303,0.0166886
0.0303229,0.0170494
0.0310236,0.0174128
0.0317323,0.017779
0.032449,0.0181477
0.0331737,0.0185191
0.0339064,0.0188931
0.0346471,0.0192696
0.0353958,0.0196486
0.0361525,0.0200302
0.0369172,0.0204142
0.0376899,0.0208007
0.0384706,0.0211895
0.0392593,0.0215808
0.040056,0.0219744
0.0408607,0.0223704
0.0416735,0.0227687
0.0424942,0.0231692
0.0433229,0.023572
0.0441597,0.0239771
0.0450044,0.0243844
0.0458571,0.0247938
0.0467179,0.0252055
0.0475866,0.0256193
0.0484634,0.0260351
0.0493481,0.0264531
0.0502409,0.0268732
0.0511417,0.0272953
0.0520504,0.0277194
0.0529672,0.0281456
0.053892,0.0285737
0.0548247,0.0290038
0.0557655,0.0294359
0.0567143,0.0298698
0.0576711,0.0303057
0.0586359,0.0307435
0.0596086,0.0311831
0.0605894,0.0316245
0.0615782,0.0320678
0.062575,0.0325129
0.0635798,0.0329598
0.0645926,0.0334084
0.0656134,0.0338588
0.0666423,0.0343109
0.0676791,0.0347647
0.0687239,0.0352202
0.0697767,0.0356774
0.0708375,0.0361363
0.0719064,0.0365967
0.0729832,0.0370588
0.074068,0.0375226
0.0751609,0.0379879
0.0762617,0.0384547
0.0773705,0.0389232
0.0784874,0.0393931
0.0796122,0.0398646
0.0807451,0.0403376
0.0818859,0.0408121
0.0830348,0.0412881
0.0841917,0.0417655
0.0853565,0.0422444
0.0865294,0.0427247
0.0877103,0.0432064
0.0888992,0.0436895
0.090096,0.0441741
0.0913009,0.0446599
0.0925138,0.0451472
0.0937347,0.0456358
0.0949636,0.0461257
0.0962005,0.0466169
0.0974454,0.0471095
0.0986983,0.0476033
0.0999592,0.0480984
0.101228,0.0485947
0.102505,0.0490924
0.10379,0.0495912
0.105083,0.0500913
0.106384,0.0505926
0.107693,0.0510951
0.10901,0.0515987
0.110335,0.0521036
0.111667,0.0526096
0.113008,0.0531168
0.114357,0.0536251
0.115714,0.0541345
0.117079,0.054645
0.118452,0.0551567
0.119833,0.0556694
0.121222,0.0561832
0.122619,0.0566981
0.124024,0.0572141
0.125437,0.0577311
0.126858,0.0582491
0.128287,0.0587682
0.129724,0.0592882
0.131169,0.0598093
0.132622,0.0603314
0.134083,0.0608545
0.135552,0.0613785
0.137029,0.0619035
0.138514,0.0624295
0.140007,0.0629564
0.141508,0.0634842
0.143017,0.0640129
0.144534,0.0645426
0.146059,0.0650732
0.147592,0.0656047
0.149133,0.0661371
0.150682,0.0666703
0.152239,0.0672044
0.153804,0.0677394
0.155377,0.0682752
0.156958,0.0688119
0.158547,0.0693494
0.160144,0.0698877
0.161749,0.0704268
0.163362,0.0709668
0.164983,0.0715075
0.166612,0.0720491
0.168249,0.0725914
0.169894,0.0731345
0.171547,0.0736784
0.173208,0.074223
0.174878,0.0747683
0.176555,0.0753145
0.17824,0.0758613
0.179933,0.0764089
0.181634,0.0769572
0.183343,0.0775062
0.18506,0.0780559
0.186785,0.0786063
0.188518,0.0791574
0.190259,0.0797091
0.192008,0.0802616
0.193765,0.0808147
0.195531,0.0813685
0.197304,0.0819229
0.199085,0.082478
0.200874,0.0830337
0.202671,0.08359
0.204476,0.084147
