t,dsigma_dt_GLC,dsigma_dt_BG
0.107383,13117.4,20068.9
0.241611,5844.43,8822.6
0.0536913,17869.2,27460.3
0,24177.1,37303.9
0.161074,9556.03,14548.4
0.214765,6901.79,10450
0.134228,11207.3,17105.6
0.187919,8130.51,12345.2
0.0268456,20801.9,32033.2
0.0805369,15323.8,23497.9
0.268456,4936.1,7427.7
0.42953,1674.51,2458.6
0.375839,2436.37,3611.15
0.295302,4157.22,6234.45
0.402685,2024.07,2986.47
0.510067,920.693,1328.12
0.348993,2921.41,4348.28
0.322148,3490.66,5215.84
0.483221,1129.92,1640.49
0.456376,1378.99,2013.89
0.563758,599.627,851.995
0.536913,745.587,1067.87
0.590604,478.508,673.832
0.61745,378.503,527.615
0.697987,175.168,234.364
0.671141,229.413,311.85
0.644295,296.396,408.378
0.724832,131.611,172.78
0.751678,96.9838,124.412
0.778523,69.7841,86.9733
0.805369,48.73,58.517
0.832215,32.7306,37.3936
0.85906,20.8606,22.209
0.885906,12.3374,11.7895
0.912752,6.50152,5.15059
0.966443,0.768438,0.065109
1.02013,0.247748,1.92576
0.939597,2.7994,1.4701
0.993289,0.0239327,0.37136
1.04698,1.1785,4.35108
1.07383,2.60302,7.34282
1.10067,4.34902,10.6578
1.12752,6.2787,14.1042
1.15436,8.28325,17.5336
1.18121,10.2782,20.8331
1.20805,12.1992,23.9196
1.2349,13.9988,26.7343
1.26174,15.6433,29.2385
1.28859,17.1102,31.4093
1.31544,18.3863,33.2366
1.34228,19.4653,34.7206
1.36913,20.3472,35.8693
1.39597,21.0361,36.6965
1.44966,21.8678,37.4621
1.42282,21.5396,37.2203
1.47651,22.0327,37.445
1.50336,22.0474,37.1932
1.55705,21.6809,36.0847
1.5302,21.9254,36.7316
1.58389,21.3277,35.2765
1.61074,20.8796,34.3299
1.63758,20.3497,33.2671
1.66443,19.7505,32.1086
1.69128,19.0939,30.8737
1.77181,16.8858,26.8795
1.71812,18.3909,29.58
1.74497,17.6517,28.2437
1.79866,16.1015,25.5007
1.8255,15.3066,24.1189
1.85235,14.5079,22.7445
1.87919,13.7115,21.3866
1.93289,12.1462,18.7504
1.90604,12.9228,20.053
1.95973,11.3859,17.4844
2.01342,9.92694,15.0797
1.98658,10.6452,16.2596
2.04027,9.23329,13.9477
2.09396,7.92686,11.8352
2.06711,8.56614,12.8657
2.12081,7.31647,10.8572
2.14765,6.73562,9.93214
2.20134,5.66374,8.24008
2.1745,6.18468,9.0599
2.22819,5.17267,7.4719
2.25503,4.71112,6.7543
2.30872,3.87439,5.46537
2.28188,4.27858,6.08595
2.33557,3.49776,4.89086
2.36242,3.14781,4.36064
2.38926,2.82357,3.8728
2.41611,2.52403,3.42538
2.4698,1.99467,2.6437
2.44295,2.24809,3.01636
2.49664,1.76262,2.30536
2.55034,1.35811,1.72355
2.52349,1.55081,1.99931
2.57718,1.1834,1.4761
2.60403,1.02556,1.25504
2.63087,0.8835,1.0585
2.65772,0.756166,0.884685
2.68456,0.64253,0.731849
2.71141,0.541595,0.598326
2.73826,0.452407,0.482527
2.7651,0.37405,0.382935
2.84564,0.195418,0.167421
2.79195,0.305647,0.298113
2.81879,0.246367,0.226702
2.87248,0.152052,0.119066
2.89933,0.115566,0.080508
2.92617,0.0852943,0.0506943
2.95302,0.0606167,0.0286431
3.03356,0.0145268,0.000286874
2.97987,0.0409513,0.0134432
3.00671,0.0257561,0.00425068
3.14094,0.000443313,0.0232586
3.0604,0.00679633,0.000835138
3.11409,0.000136784,0.0128951
3.08725,0.00213242,0.00523818
3.16779,0.00271654,0.0358316
3.19463,0.00665008,0.050165
3.43624,0.0786013,0.20423
3.46309,0.0875815,0.219963
3.24832,0.0184083,0.0825367
3.22148,0.011965,0.0658543
3.27517,0.0257515,0.0998889
3.30201,0.0337886,0.117624
3.3557,0.0512275,0.153261
3.38255,0.060319,0.170748
3.32886,0.0423355,0.135488
3.4094,0.0694811,0.187785
3.48993,0.0963373,0.234887
3.51678,0.104797,0.248921
3.62416,0.134606,0.295122
3.54362,0.112899,0.262003
3.65101,0.140867,0.304046
3.59732,0.12784,0.285131
3.57047,0.120594,0.274084
3.7047,0.151808,0.318698
3.67785,0.146605,0.311902
3.73154,0.156472,0.324447
3.86577,0.171784,0.338422
3.75839,0.160593,0.329172
3.78523,0.164177,0.332898
3.81208,0.167229,0.335658
3.83893,0.169761,0.337486
3.91946,0.174371,0.337781
3.89262,0.173315,0.338505
3.97315,0.175136,0.334086
3.94631,0.174971,0.336292
4,0.174887,0.331207
