W,sigma_GLC,sigma_BG
1.019,0,0
1.08889,5.28687e-08,2.26792e-07
1.16358,4.1581e-05,0.00017853
1.24339,0.00160922,0.00691566
1.32867,0.0183046,0.0787398
1.41981,0.107139,0.461331
1.51719,0.414075,1.7848
1.62126,1.20695,5.20787
1.73246,2.87213,12.4066
1.85129,5.87214,25.3944
1.97827,10.6799,46.24
2.11396,17.7115,76.777
2.25895,27.2744,118.378
2.4139,39.5392,171.832
2.57947,54.5354,237.317
2.75639,72.1651,314.462
2.94545,92.2279,402.45
3.14748,114.451,500.144
3.36337,138.52,606.218
3.59406,164.102,719.263
3.84058,190.868,837.881
4.104,218.51,960.75
4.3855,246.745,1086.66
4.6863,275.329,1214.57
5.00773,304.05,1343.54
5.35121,332.733,1472.84
5.71825,361.238,1601.85
6.11046,389.454,1730.09
6.52958,417.298,1857.18
6.97745,444.707,1982.86
7.45603,471.639,2106.94
7.96744,498.069,2229.29
8.51392,523.981,2349.85
9.09789,549.372,2468.59
9.72192,574.243,2585.51
10.3887,598.605,2700.66
11.1013,622.468,2814.07
11.8627,645.848,2925.8
12.6764,668.761,3035.91
13.5459,691.223,3144.47
14.475,713.252,3251.54
15.4678,734.865,3357.19
16.5288,756.076,3461.48
17.6625,776.902,3564.47
18.874,797.355,3666.19
20.1685,817.448,3766.71
21.5519,837.193,3866.05
23.0301,856.6,3964.25
24.6098,875.678,4061.33
26.2978,894.435,4157.33
28.1015,912.878,4252.25
30.029,931.013,4346.12
32.0887,948.845,4438.93
34.2897,966.379,4530.69
36.6416,983.617,4621.41
39.1548,1000.56,4711.08
41.8405,1017.22,4799.7
44.7103,1033.6,4887.27
47.777,1049.68,4973.78
51.054,1065.49,5059.22
54.5558,1081.01,5143.57
58.2978,1096.26,5226.84
62.2964,1111.22,5309.01
66.5693,1125.91,5390.06
71.1353,1140.32,5470
76.0145,1154.45,5548.8
81.2283,1168.32,5626.45
86.7998,1181.9,5702.96
92.7534,1195.22,5778.3
99.1154,1208.27,5852.47
105.914,1221.04,5925.47
113.178,1233.55,5997.28
120.941,1245.8,6067.89
129.237,1257.78,6137.32
138.101,1269.5,6205.54
147.573,1280.96,6272.56
157.695,1292.16,6338.37
168.512,1303.11,6402.99
180.07,1313.81,6466.39
192.421,1324.26,6528.6
205.619,1334.46,6589.6
219.722,1344.42,6649.41
234.793,1354.13,6708.03
250.898,1363.62,6765.46
268.107,1372.86,6821.71
286.496,1381.88,6876.79
306.147,1390.67,6930.7
327.146,1399.24,6983.46
349.584,1407.58,7035.07
373.562,1415.71,7085.55
399.185,1423.63,7134.91
426.565,1431.34,7183.15
455.823,1438.85,7230.29
487.088,1446.15,7276.35
520.498,1453.26,7321.34
556.199,1460.17,7365.27
594.348,1466.89,7408.15
635.115,1473.43,7450.01
678.677,1479.79,7490.85
725.228,1485.97,7530.69
774.971,1491.97,7569.55
828.126,1497.81,7607.44
884.928,1503.48,7644.38
945.625,1508.98,7680.39
1010.49,1514.33,7715.48
1079.79,1519.52,7749.67
1153.86,1524.57,7782.97
1233,1529.46,7815.41
1317.57,1534.21,7847
1407.94,1538.82,7877.75
1504.52,1543.29,7907.69
1607.71,1547.63,7936.82
1717.98,1551.84,7965.17
1835.82,1555.93,7992.76
1961.74,1559.89,8019.59
2096.29,1563.72,8045.69
2240.08,1567.45,8071.07
2393.73,1571.06,8095.75
2557.91,1574.56,8119.74
2733.36,1577.95,8143.07
2920.84,1581.23,8165.74
3121.18,1584.42,8187.77
3335.26,1587.5,8209.17
3564.03,1590.49,8229.97
3808.48,1593.39,8250.17
4069.71,1596.2,8269.8
4348.85,1598.91,8288.85
4647.14,1601.55,8307.36
4965.88,1604.1,8325.33
5306.49,1606.56,8342.78
5670.47,1608.95,8359.71
6059.4,1611.27,8376.15
6475.02,1613.51,8392.11
6919.14,1615.68,8407.59
7393.73,1617.77,8422.62
7900.86,1619.81,8437.2
8442.78,1621.77,8451.34
9021.87,1623.68,8465.06
9640.68,1625.52,8478.37
10301.9,1627.3,8491.28
11008.5,1629.02,8503.8
11763.6,1630.69,8515.95
12570.5,1632.31,8527.72
13432.7,1633.87,8539.14
14354,1635.38,8550.2
15338.6,1636.84,8560.93
16390.7,1638.25,8571.33
17514.9,1639.62,8581.42
18716.3,1640.94,8591.19
20000,1642.22,8600.66
