# xyscan Version 4.6.4
# Date: Fri Mar 20 16:04:15 2026
# Scanned by: elian
# Source: Clipboard
# Comment: 
# Format: x, y, -dy, +dy
2.162	0.29907	0.098022	0.099577	
2.4779	0.40074	0.1001	0.098347	
2.5437	0.40074	0.14102	0.13904	
2.6667	0.47367	0.031108	0.033295	
2.9928	0.41567	0.025264	0.029218	
3.1048	0.44956	0.12946	0.12816	
3.1211	0.4092	0.089108	0.089882	
3.3943	0.50433	0.042868	0.043978	
4.2754	0.5483	0.069655	0.070022	
7.3	0.48368	0.089175	0.091028	
8.1929	0.50433	0.092982	0.094914	
8.7252	0.52311	0.10745	0.10498	
8.9102	0.56577	0.092094	0.099488	
9.195	0.60871	0.099084	0.16945	
9.39	0.54545	0.093534	0.092572	
9.7412	0.44488	0.06455	0.064741	
10	0.62482	0.090658	0.068834	
10.65	0.41567	0.071279	0.073094	
11.521	0.54545	0.086394	0.10605	
11.582	0.64472	0.073011	0.071026	
12.206	0.65149	0.06465	0.056811	
12.27	0.65491	0.068063	0.10716	
12.334	0.65491	0.1066	0.10716	
12.999	0.52585	0.094704	0.09247	
13.771	0.63802	0.12572	0.12405	
14.136	0.65834	0.05596	0.061158	
14.82	0.60553	0.12438	0.12916	
14.898	0.62809	0.038175	0.040646	
16.545	0.59301	0.13873	0.13786	
17.164	0.73854	0.097182	0.09868	
# EoF
