r,overlap_GLC,overlap_BG
9.89529e-05,4.35e-06,4.43917e-06
0.000100169,4.39883e-06,4.48902e-06
0.000101401,4.44821e-06,4.53943e-06
0.000102647,4.49814e-06,4.5904e-06
0.000103909,4.54862e-06,4.64194e-06
0.000105187,4.59967e-06,4.69405e-06
0.00010648,4.65128e-06,4.74674e-06
0.000107789,4.70346e-06,4.80002e-06
0.000109114,4.75623e-06,4.85389e-06
0.000110455,4.80958e-06,4.90835e-06
0.000111813,4.86352e-06,4.96343e-06
0.000113187,4.91807e-06,5.01911e-06
0.000114579,4.97322e-06,5.07542e-06
0.000115987,5.02898e-06,5.13235e-06
0.000117413,5.08536e-06,5.18991e-06
0.000118857,5.14237e-06,5.24812e-06
0.000120318,5.20002e-06,5.30697e-06
0.000121797,5.2583e-06,5.36647e-06
0.000123294,5.31723e-06,5.42664e-06
0.00012481,5.37681e-06,5.48747e-06
0.000126344,5.43705e-06,5.54898e-06
0.000127897,5.49797e-06,5.61117e-06
0.00012947,5.55956e-06,5.67405e-06
0.000131061,5.62183e-06,5.73763e-06
0.000132672,5.68479e-06,5.80192e-06
0.000134303,5.74845e-06,5.86692e-06
0.000135954,5.81282e-06,5.93264e-06
0.000137626,5.8779e-06,5.99909e-06
0.000139318,5.94371e-06,6.06627e-06
0.00014103,6.01024e-06,6.13421e-06
0.000142764,6.07751e-06,6.20289e-06
0.000144519,6.14553e-06,6.27234e-06
0.000146296,6.2143e-06,6.34256e-06
0.000148094,6.28383e-06,6.41355e-06
0.000149915,6.35413e-06,6.48534e-06
0.000151758,6.42522e-06,6.55792e-06
0.000153623,6.49708e-06,6.6313e-06
0.000155512,6.56975e-06,6.7055e-06
0.000157423,6.64322e-06,6.78052e-06
0.000159359,6.7175e-06,6.85636e-06
0.000161318,6.79261e-06,6.93305e-06
0.000163301,6.86855e-06,7.01059e-06
0.000165308,6.94532e-06,7.08899e-06
0.00016734,7.02295e-06,7.16826e-06
0.000169398,7.10144e-06,7.2484e-06
0.00017148,7.18079e-06,7.32943e-06
0.000173588,7.26102e-06,7.41136e-06
0.000175722,7.34214e-06,7.49419e-06
0.000177882,7.42416e-06,7.57794e-06
0.000180069,7.50708e-06,7.66262e-06
0.000182283,7.59093e-06,7.74823e-06
0.000184523,7.67569e-06,7.8348e-06
0.000186792,7.7614e-06,7.92231e-06
0.000189088,7.84805e-06,8.0108e-06
0.000191413,7.93566e-06,8.10026e-06
0.000193766,8.02424e-06,8.19072e-06
0.000196148,8.11379e-06,8.28217e-06
0.000198559,8.20434e-06,8.37463e-06
0.000201,8.29588e-06,8.46812e-06
0.000203471,8.38844e-06,8.56264e-06
0.000205972,8.48202e-06,8.6582e-06
0.000208504,8.57663e-06,8.75482e-06
0.000211067,8.67228e-06,8.8525e-06
0.000213662,8.76899e-06,8.95127e-06
0.000216289,8.86677e-06,9.05112e-06
0.000218948,8.96563e-06,9.15208e-06
0.000221639,9.06558e-06,9.25415e-06
0.000224364,9.16663e-06,9.35735e-06
0.000227122,9.26879e-06,9.46168e-06
0.000229914,9.37208e-06,9.56717e-06
0.000232741,9.47651e-06,9.67382e-06
0.000235602,9.58209e-06,9.78165e-06
0.000238498,9.68884e-06,9.89066e-06
0.00024143,9.79676e-06,1.00009e-05
0.000244398,9.90587e-06,1.01123e-05
0.000247402,1.00162e-05,1.0225e-05
0.000250444,1.01277e-05,1.03389e-05
0.000253522,1.02405e-05,1.0454e-05
0.000256639,1.03545e-05,1.05705e-05
0.000259794,1.04697e-05,1.06882e-05
0.000262988,1.05862e-05,1.08072e-05
0.000266221,1.0704e-05,1.09275e-05
0.000269493,1.08231e-05,1.10491e-05
0.000272806,1.09436e-05,1.11721e-05
0.00027616,1.10653e-05,1.12965e-05
0.000279555,1.11884e-05,1.14222e-05
0.000282991,1.13128e-05,1.15493e-05
0.00028647,1.14386e-05,1.16777e-05
0.000289992,1.15658e-05,1.18076e-05
0.000293557,1.16944e-05,1.1939e-05
0.000297166,1.18244e-05,1.20717e-05
0.000300819,1.19558e-05,1.2206e-05
0.000304517,1.20886e-05,1.23417e-05
0.00030826,1.2223e-05,1.24789e-05
0.00031205,1.23588e-05,1.26176e-05
0.000315886,1.24961e-05,1.27578e-05
0.000319769,1.26349e-05,1.28996e-05
0.0003237,1.27752e-05,1.30429e-05
0.00032768,1.29171e-05,1.31879e-05
0.000331708,1.30605e-05,1.33344e-05
0.000335786,1.32055e-05,1.34825e-05
0.000339913,1.33521e-05,1.36322e-05
0.000344092,1.35003e-05,1.37836e-05
0.000348322,1.36501e-05,1.39366e-05
0.000352604,1.38016e-05,1.40913e-05
0.000356939,1.39547e-05,1.42478e-05
0.000361327,1.41095e-05,1.44059e-05
0.000365769,1.4266e-05,1.45658e-05
0.000370265,1.44242e-05,1.47274e-05
0.000374817,1.45842e-05,1.48908e-05
0.000379425,1.47459e-05,1.5056e-05
0.000384089,1.49094e-05,1.5223e-05
0.000388811,1.50746e-05,1.53918e-05
0.00039359,1.52417e-05,1.55625e-05
0.000398429,1.54106e-05,1.5735e-05
0.000403327,1.55814e-05,1.59095e-05
0.000408285,1.5754e-05,1.60858e-05
0.000413304,1.59285e-05,1.62641e-05
0.000418385,1.61049e-05,1.64443e-05
0.000423528,1.62833e-05,1.66265e-05
0.000428735,1.64636e-05,1.68107e-05
0.000434005,1.66459e-05,1.6997e-05
0.000439341,1.68302e-05,1.71852e-05
0.000444742,1.70165e-05,1.73755e-05
0.000450209,1.72048e-05,1.75679e-05
0.000455743,1.73952e-05,1.77624e-05
0.000461346,1.75877e-05,1.79591e-05
0.000467017,1.77822e-05,1.81578e-05
0.000472759,1.79789e-05,1.83588e-05
0.00047857,1.81778e-05,1.8562e-05
0.000484454,1.83788e-05,1.87673e-05
0.000490409,1.8582e-05,1.89749e-05
0.000496438,1.87874e-05,1.91848e-05
0.000502541,1.89951e-05,1.9397e-05
0.000508718,1.9205e-05,1.96115e-05
0.000514972,1.94173e-05,1.98283e-05
0.000521303,1.96318e-05,2.00475e-05
0.000527711,1.98487e-05,2.02691e-05
0.000534199,2.0068e-05,2.04931e-05
0.000540766,2.02896e-05,2.07196e-05
0.000547414,2.05137e-05,2.09485e-05
0.000554143,2.07402e-05,2.118e-05
0.000560955,2.09692e-05,2.14139e-05
0.000567851,2.12006e-05,2.16504e-05
0.000574832,2.14346e-05,2.18895e-05
0.000581898,2.16712e-05,2.21312e-05
0.000589052,2.19103e-05,2.23755e-05
0.000596293,2.2152e-05,2.26225e-05
0.000603624,2.23963e-05,2.28722e-05
0.000611044,2.26434e-05,2.31246e-05
0.000618556,2.28931e-05,2.33797e-05
0.00062616,2.31455e-05,2.36376e-05
0.000633857,2.34006e-05,2.38984e-05
0.00064165,2.36586e-05,2.41619e-05
0.000649538,2.39193e-05,2.44284e-05
0.000657522,2.41829e-05,2.46977e-05
0.000665606,2.44494e-05,2.497e-05
0.000673788,2.47187e-05,2.52452e-05
0.000682071,2.4991e-05,2.55234e-05
0.000690456,2.52662e-05,2.58047e-05
0.000698944,2.55444e-05,2.6089e-05
0.000707536,2.58257e-05,2.63764e-05
0.000716234,2.611e-05,2.66669e-05
0.000725039,2.63973e-05,2.69606e-05
0.000733952,2.66878e-05,2.72575e-05
0.000742975,2.69815e-05,2.75576e-05
0.000752108,2.72783e-05,2.78609e-05
0.000761354,2.75784e-05,2.81676e-05
0.000770713,2.78817e-05,2.84775e-05
0.000780188,2.81883e-05,2.87909e-05
0.000789779,2.84983e-05,2.91076e-05
0.000799488,2.88116e-05,2.94278e-05
0.000809316,2.91282e-05,2.97514e-05
0.000819265,2.94484e-05,3.00786e-05
0.000829337,2.9772e-05,3.04093e-05
0.000839532,3.00991e-05,3.07436e-05
0.000849853,3.04297e-05,3.10815e-05
0.0008603,3.07639e-05,3.14231e-05
0.000870876,3.11018e-05,3.17684e-05
0.000881582,3.14432e-05,3.21174e-05
0.000892419,3.17884e-05,3.24702e-05
0.00090339,3.21374e-05,3.28268e-05
0.000914496,3.24901e-05,3.31873e-05
0.000925738,3.28466e-05,3.35516e-05
0.000937118,3.3207e-05,3.392e-05
0.000948638,3.35712e-05,3.42923e-05
0.0009603,3.39394e-05,3.46686e-05
0.000972105,3.43116e-05,3.5049e-05
0.000984056,3.46878e-05,3.54335e-05
0.000996153,3.50681e-05,3.58222e-05
0.0010084,3.54525e-05,3.62151e-05
0.0010208,3.5841e-05,3.66122e-05
0.00103334,3.62337e-05,3.70137e-05
0.00104605,3.66307e-05,3.74194e-05
0.00105891,3.70319e-05,3.78295e-05
0.00107192,3.74375e-05,3.82441e-05
0.0010851,3.78475e-05,3.86631e-05
0.00109844,3.82618e-05,3.90867e-05
0.00111194,3.86807e-05,3.95148e-05
0.00112561,3.9104e-05,3.99476e-05
0.00113945,3.9532e-05,4.0385e-05
0.00115346,3.99645e-05,4.08272e-05
0.00116764,4.04017e-05,4.12741e-05
0.00118199,4.08436e-05,4.17258e-05
0.00119652,4.12902e-05,4.21824e-05
0.00121123,4.17417e-05,4.26439e-05
0.00122612,4.2198e-05,4.31104e-05
0.0012412,4.26593e-05,4.35819e-05
0.00125645,4.31255e-05,4.40585e-05
0.0012719,4.35967e-05,4.45402e-05
0.00128754,4.4073e-05,4.50271e-05
0.00130336,4.45544e-05,4.55193e-05
0.00131939,4.5041e-05,4.60167e-05
0.00133561,4.55328e-05,4.65195e-05
0.00135202,4.60299e-05,4.70277e-05
0.00136864,4.65324e-05,4.75414e-05
0.00138547,4.70402e-05,4.80606e-05
0.0014025,4.75535e-05,4.85853e-05
0.00141974,4.80723e-05,4.91157e-05
0.0014372,4.85967e-05,4.96518e-05
0.00145486,4.91267e-05,5.01937e-05
0.00147275,4.96624e-05,5.07414e-05
0.00149085,5.02038e-05,5.12949e-05
0.00150918,5.0751e-05,5.18544e-05
0.00152773,5.13041e-05,5.242e-05
0.00154651,5.18632e-05,5.29915e-05
0.00156553,5.24282e-05,5.35692e-05
0.00158477,5.29993e-05,5.41531e-05
0.00160425,5.35765e-05,5.47433e-05
0.00162398,5.41599e-05,5.53398e-05
0.00164394,5.47495e-05,5.59427e-05
0.00166415,5.53454e-05,5.6552e-05
0.00168461,5.59478e-05,5.71679e-05
0.00170532,5.65565e-05,5.77903e-05
0.00172628,5.71718e-05,5.84195e-05
0.0017475,5.77937e-05,5.90553e-05
0.00176898,5.84222e-05,5.9698e-05
0.00179073,5.90574e-05,6.03475e-05
0.00181274,5.96994e-05,6.1004e-05
0.00183503,6.03483e-05,6.16675e-05
0.00185759,6.10041e-05,6.23382e-05
0.00188042,6.16669e-05,6.30159e-05
0.00190354,6.23368e-05,6.37009e-05
0.00192694,6.30138e-05,6.43933e-05
0.00195063,6.36981e-05,6.5093e-05
0.00197461,6.43896e-05,6.58002e-05
0.00199888,6.50886e-05,6.6515e-05
0.00202345,6.5795e-05,6.72374e-05
0.00204833,6.65089e-05,6.79675e-05
0.00207351,6.72304e-05,6.87053e-05
0.002099,6.79596e-05,6.94511e-05
0.0021248,6.86966e-05,7.02048e-05
0.00215092,6.94415e-05,7.09665e-05
0.00217737,7.01942e-05,7.17364e-05
0.00220413,7.0955e-05,7.25145e-05
0.00223123,7.17239e-05,7.33008e-05
0.00225866,7.2501e-05,7.40955e-05
0.00228642,7.32863e-05,7.48987e-05
0.00231453,7.408e-05,7.57104e-05
0.00234299,7.48821e-05,7.65308e-05
0.00237179,7.56927e-05,7.73599e-05
0.00240095,7.6512e-05,7.81978e-05
0.00243046,7.734e-05,7.90447e-05
0.00246034,7.81767e-05,7.99005e-05
0.00249058,7.90224e-05,8.07654e-05
0.0025212,7.9877e-05,8.16396e-05
0.0025522,8.07407e-05,8.2523e-05
0.00258357,8.16135e-05,8.34158e-05
0.00261533,8.24956e-05,8.4318e-05
0.00264748,8.33871e-05,8.52299e-05
0.00268003,8.4288e-05,8.61514e-05
0.00271297,8.51984e-05,8.70827e-05
0.00274632,8.61185e-05,8.80239e-05
0.00278009,8.70484e-05,8.8975e-05
0.00281426,8.79881e-05,8.99363e-05
0.00284886,8.89377e-05,9.09077e-05
0.00288388,8.98974e-05,9.18894e-05
0.00291933,9.08673e-05,9.28815e-05
0.00295522,9.18474e-05,9.38841e-05
0.00299155,9.28379e-05,9.48974e-05
0.00302833,9.38388e-05,9.59213e-05
0.00306555,9.48504e-05,9.69561e-05
0.00310324,9.58726e-05,9.80019e-05
0.00314139,9.69056e-05,9.90586e-05
0.00318001,9.79495e-05,0.000100127
0.0032191,9.90045e-05,0.000101206
0.00325867,0.000100071,0.000102297
0.00329873,0.000101148,0.000103399
0.00333928,0.000102237,0.000104513
0.00338033,0.000103337,0.000105638
0.00342189,0.000104448,0.000106776
0.00346396,0.000105572,0.000107925
0.00350654,0.000106707,0.000109087
0.00354965,0.000107855,0.00011026
0.00359328,0.000109014,0.000111447
0.00363746,0.000110186,0.000112645
0.00368217,0.000111369,0.000113857
0.00372744,0.000112566,0.000115081
0.00377326,0.000113775,0.000116318
0.00381964,0.000114996,0.000117568
0.0038666,0.000116231,0.000118831
0.00391413,0.000117478,0.000120107
0.00396225,0.000118739,0.000121397
0.00401096,0.000120013,0.000122701
0.00406027,0.0001213,0.000124018
0.00411018,0.000122601,0.000125349
0.00416071,0.000123915,0.000126694
0.00421186,0.000125243,0.000128053
0.00426364,0.000126585,0.000129426
0.00431605,0.000127941,0.000130814
0.00436911,0.000129311,0.000132216
0.00442282,0.000130696,0.000133633
0.00447719,0.000132095,0.000135065
0.00453223,0.000133509,0.000136512
0.00458794,0.000134938,0.000137974
0.00464434,0.000136381,0.000139451
0.00470144,0.00013784,0.000140944
0.00475923,0.000139314,0.000142452
0.00481774,0.000140803,0.000143977
0.00487697,0.000142308,0.000145517
0.00493692,0.000143829,0.000147073
0.00499761,0.000145365,0.000148646
0.00505905,0.000146918,0.000150235
0.00512124,0.000148486,0.00015184
0.0051842,0.000150072,0.000153462
0.00524793,0.000151673,0.000155102
0.00531244,0.000153291,0.000156758
0.00537775,0.000154927,0.000158432
0.00544386,0.000156579,0.000160123
0.00551078,0.000158248,0.000161832
0.00557853,0.000159935,0.000163558
0.0056471,0.000161639,0.000165303
0.00571652,0.000163361,0.000167066
0.0057868,0.000165101,0.000168847
0.00585794,0.00016686,0.000170646
0.00592995,0.000168636,0.000172465
0.00600285,0.000170431,0.000174302
0.00607664,0.000172244,0.000176159
0.00615135,0.000174076,0.000178034
0.00622697,0.000175928,0.000179929
0.00630351,0.000177798,0.000181844
0.00638101,0.000179688,0.000183779
0.00645945,0.000181598,0.000185734
0.00653886,0.000183527,0.000187709
0.00661924,0.000185476,0.000189705
0.00670061,0.000187446,0.000191721
0.00678298,0.000189435,0.000193758
0.00686637,0.000191446,0.000195816
0.00695078,0.000193477,0.000197896
0.00703623,0.000195529,0.000199997
0.00712272,0.000197603,0.00020212
0.00721029,0.000199698,0.000204265
0.00729892,0.000201814,0.000206432
0.00738865,0.000203952,0.000208622
0.00747948,0.000206113,0.000210834
0.00757143,0.000208296,0.000213069
0.00766451,0.000210501,0.000215327
0.00775873,0.000212729,0.000217608
0.00785411,0.00021498,0.000219913
0.00795066,0.000217254,0.000222241
0.0080484,0.000219551,0.000224594
0.00814734,0.000221872,0.000226971
0.0082475,0.000224217,0.000229372
0.00834889,0.000226587,0.000231799
0.00845152,0.00022898,0.00023425
0.00855542,0.000231398,0.000236726
0.00866059,0.000233841,0.000239228
0.00876706,0.000236309,0.000241755
0.00887483,0.000238803,0.000244309
0.00898393,0.000241321,0.000246889
0.00909438,0.000243866,0.000249495
0.00920617,0.000246437,0.000252128
0.00931935,0.000249034,0.000254788
0.00943391,0.000251658,0.000257475
0.00954989,0.000254309,0.00026019
0.00966729,0.000256987,0.000262933
0.00978613,0.000259692,0.000265704
0.00990643,0.000262425,0.000268503
0.0100282,0.000265185,0.00027133
0.0101515,0.000267974,0.000274187
0.0102763,0.000270792,0.000277073
0.0104026,0.000273638,0.000279989
0.0105305,0.000276513,0.000282934
0.01066,0.000279418,0.000285909
0.010791,0.000282352,0.000288915
0.0109237,0.000285316,0.000291951
0.0110579,0.00028831,0.000295019
0.0111939,0.000291335,0.000298117
0.0113315,0.000294391,0.000301247
0.0114708,0.000297477,0.00030441
0.0116118,0.000300595,0.000307604
0.0117545,0.000303745,0.000310831
0.011899,0.000306927,0.00031409
0.0120453,0.000310141,0.000317383
0.0121934,0.000313387,0.000320709
0.0123433,0.000316667,0.000324069
0.012495,0.00031998,0.000327463
0.0126486,0.000323326,0.000330892
0.0128041,0.000326706,0.000334355
0.0129615,0.00033012,0.000337854
0.0131209,0.000333569,0.000341388
0.0132822,0.000337053,0.000344957
0.0134455,0.000340572,0.000348563
0.0136107,0.000344127,0.000352206
0.0137781,0.000347717,0.000355885
0.0139474,0.000351344,0.000359601
0.0141189,0.000355007,0.000363355
0.0142925,0.000358708,0.000367147
0.0144682,0.000362445,0.000370977
0.014646,0.00036622,0.000374846
0.0148261,0.000370034,0.000378753
0.0150083,0.000373885,0.000382701
0.0151928,0.000377775,0.000386687
0.0153796,0.000381705,0.000390715
0.0155687,0.000385674,0.000394782
0.0157601,0.000389682,0.000398891
0.0159538,0.000393731,0.00040304
0.0161499,0.000397821,0.000407232
0.0163485,0.000401951,0.000411465
0.0165494,0.000406123,0.000415741
0.0167529,0.000410337,0.00042006
0.0169588,0.000414592,0.000424422
0.0171673,0.000418891,0.000428828
0.0173784,0.000423232,0.000433278
0.017592,0.000427617,0.000437773
0.0178083,0.000432045,0.000442312
0.0180272,0.000436518,0.000446897
0.0182488,0.000441035,0.000451528
0.0184731,0.000445597,0.000456204
0.0187002,0.000450205,0.000460928
0.0189301,0.000454859,0.000465699
0.0191628,0.000459558,0.000470517
0.0193984,0.000464305,0.000475383
0.0196369,0.000469099,0.000480298
0.0198783,0.00047394,0.000485261
0.0201226,0.000478829,0.000490274
0.02037,0.000483767,0.000495336
0.0206204,0.000488754,0.000500449
0.0208739,0.00049379,0.000505613
0.0211305,0.000498876,0.000510828
0.0213903,0.000504013,0.000516094
0.0216532,0.0005092,0.000521413
0.0219194,0.000514438,0.000526784
0.0221889,0.000519728,0.000532209
0.0224617,0.00052507,0.000537687
0.0227378,0.000530465,0.000543219
0.0230173,0.000535913,0.000548805
0.0233003,0.000541415,0.000554447
0.0235867,0.000546971,0.000560145
0.0238767,0.000552581,0.000565898
0.0241702,0.000558246,0.000571708
0.0244673,0.000563968,0.000577576
0.0247681,0.000569745,0.000583501
0.0250726,0.000575579,0.000589484
0.0253808,0.00058147,0.000595526
0.0256928,0.000587418,0.000601627
0.0260086,0.000593425,0.000607788
0.0263284,0.000599491,0.000614009
0.026652,0.000605615,0.000620291
0.0269797,0.0006118,0.000626634
0.0273113,0.000618045,0.00063304
0.0276471,0.00062435,0.000639508
0.027987,0.000630717,0.000646039
0.028331,0.000637146,0.000652634
0.0286793,0.000643638,0.000659293
0.0290319,0.000650192,0.000666016
0.0293888,0.000656811,0.000672806
0.02975,0.000663493,0.000679661
0.0301158,0.00067024,0.000686582
0.030486,0.000677052,0.000693571
0.0308608,0.00068393,0.000700627
0.0312401,0.000690875,0.000707752
0.0316242,0.000697886,0.000714946
0.0320129,0.000704966,0.000722209
0.0324065,0.000712113,0.000729542
0.0328049,0.000719329,0.000736946
0.0332081,0.000726615,0.000744422
0.0336164,0.000733971,0.000751969
0.0340296,0.000741397,0.000759589
0.034448,0.000748895,0.000767282
0.0348714,0.000756464,0.000775049
0.0353001,0.000764106,0.00078289
0.0357341,0.000771821,0.000790807
0.0361734,0.000779609,0.000798799
0.0366181,0.000787472,0.000806868
0.0370682,0.00079541,0.000815014
0.0375239,0.000803423,0.000823238
0.0379852,0.000811513,0.00083154
0.0384521,0.00081968,0.000839921
0.0389248,0.000827924,0.000848381
0.0394034,0.000836246,0.000856923
0.0398878,0.000844647,0.000865545
0.0403781,0.000853128,0.000874249
0.0408745,0.000861688,0.000883035
0.041377,0.00087033,0.000891905
0.0418856,0.000879053,0.000900858
0.0424005,0.000887858,0.000909896
0.0429218,0.000896746,0.000919018
0.0434494,0.000905717,0.000928227
0.0439835,0.000914773,0.000937523
0.0445242,0.000923914,0.000946905
0.0450716,0.00093314,0.000956376
0.0456257,0.000942452,0.000965935
0.0461866,0.000951851,0.000975584
0.0467543,0.000961338,0.000985323
0.0473291,0.000970914,0.000995152
0.0479109,0.000980578,0.00100507
0.0484999,0.000990332,0.00101509
0.0490961,0.00100018,0.00102519
0.0496997,0.00101011,0.00103539
