r,overlap_GLC,overlap_BG
0.000434005,0.000476168,0.000656166
0.000439341,0.000481038,0.000662891
0.000444742,0.000485955,0.000669682
0.000450209,0.00049092,0.000676539
0.000455743,0.000495934,0.000683464
0.000461346,0.000500997,0.000690457
0.000467017,0.00050611,0.000697519
0.000472759,0.000511272,0.00070465
0.00047857,0.000516485,0.00071185
0.000484454,0.000521749,0.000719122
0.000490409,0.000527064,0.000726464
0.000496438,0.000532431,0.000733879
0.000502541,0.000537851,0.000741366
0.000508718,0.000543323,0.000748926
0.000514972,0.000548849,0.00075656
0.000521303,0.000554428,0.000764268
0.000527711,0.000560061,0.000772052
0.000534199,0.000565749,0.000779911
0.000540766,0.000571493,0.000787847
0.000547414,0.000577292,0.00079586
0.000554143,0.000583147,0.000803952
0.000560955,0.000589059,0.000812122
0.000567851,0.000595028,0.000820371
0.000574832,0.000601055,0.0008287
0.000581898,0.000607141,0.00083711
0.000589052,0.000613285,0.000845602
0.000596293,0.000619488,0.000854176
0.000603624,0.000625751,0.000862833
0.000611044,0.000632075,0.000871574
0.000618556,0.000638459,0.000880399
0.00062616,0.000644905,0.00088931
0.000633857,0.000651413,0.000898307
0.00064165,0.000657983,0.00090739
0.000649538,0.000664617,0.000916561
0.000657522,0.000671314,0.00092582
0.000665606,0.000678076,0.000935169
0.000673788,0.000684902,0.000944607
0.000682071,0.000691793,0.000954136
0.000690456,0.000698751,0.000963757
0.000698944,0.000705775,0.00097347
0.000707536,0.000712866,0.000983276
0.000716234,0.000720025,0.000993176
0.000725039,0.000727252,0.00100317
0.000733952,0.000734548,0.00101326
0.000742975,0.000741913,0.00102345
0.000752108,0.000749349,0.00103373
0.000761354,0.000756855,0.00104412
0.000770713,0.000764433,0.0010546
0.000780188,0.000772082,0.00106518
0.000789779,0.000779804,0.00107586
0.000799488,0.000787599,0.00108665
0.000809316,0.000795468,0.00109753
0.000819265,0.000803412,0.00110852
0.000829337,0.00081143,0.00111962
0.000839532,0.000819525,0.00113082
0.000849853,0.000827695,0.00114212
0.0008603,0.000835943,0.00115354
0.000870876,0.000844269,0.00116506
0.000881582,0.000852672,0.00117669
0.000892419,0.000861155,0.00118843
0.00090339,0.000869718,0.00120028
0.000914496,0.000878361,0.00121224
0.000925738,0.000887085,0.00122431
0.000937118,0.00089589,0.0012365
0.000948638,0.000904779,0.00124881
0.0009603,0.00091375,0.00126123
0.000972105,0.000922805,0.00127376
0.000984056,0.000931945,0.00128641
0.000996153,0.00094117,0.00129919
0.0010084,0.000950481,0.00131208
0.0010208,0.000959879,0.00132509
0.00103334,0.000969364,0.00133822
