W,sigma_GLC,sigma_BG
309.7,0.0502334,0.0621583
283.452,0.0478327,0.0588459
259.429,0.045504,0.0556566
237.441,0.0432482,0.0525899
217.318,0.0410657,0.0496452
198.899,0.0389572,0.0468216
182.042,0.0369226,0.0441178
166.614,0.0349622,0.0415322
152.493,0.0330755,0.0390629
139.568,0.0312623,0.0367078
127.74,0.029522,0.0344645
116.913,0.0278537,0.0323306
107.005,0.0262566,0.0303032
97.9357,0.0247295,0.0283795
89.6354,0.0232712,0.0265563
82.0386,0.0218804,0.0248307
75.0856,0.0205556,0.0231991
68.7219,0.0192951,0.0216584
62.8975,0.0180974,0.0202052
57.5668,0.0169605,0.018836
52.6878,0.0158828,0.0175473
48.2224,0.0148623,0.0163358
44.1354,0.0138971,0.0151979
40.3948,0.0129851,0.0141304
36.9713,0.0121244,0.0131298
33.8378,0.011313,0.0121929
30.97,0.0105488,0.0113164
28.3452,0.00982991,0.0104972
25.9429,0.00915423,0.00973213
23.7441,0.00851981,0.00901834
21.7318,0.0079247,0.00835288
19.8899,0.00736699,0.00773298
18.2042,0.00684479,0.00715597
16.6614,0.00635627,0.00661927
15.2493,0.00589965,0.00612042
13.9568,0.0054732,0.00565706
12.774,0.00507525,0.00522696
11.6913,0.00470417,0.00482798
10.7005,0.00435841,0.00445808
9.79357,0.00403647,0.00411535
