r,N_gbw
2.45692e-06,1.06146e-05
2.52582e-06,1.09123e-05
2.59666e-06,1.12184e-05
2.66948e-06,1.1533e-05
2.74434e-06,1.18564e-05
2.82131e-06,1.21889e-05
2.90043e-06,1.25308e-05
2.98177e-06,1.28822e-05
3.0654e-06,1.32435e-05
3.15136e-06,1.36149e-05
3.23974e-06,1.39967e-05
3.3306e-06,1.43892e-05
3.42401e-06,1.47928e-05
3.52003e-06,1.52076e-05
3.61875e-06,1.56341e-05
3.72024e-06,1.60726e-05
3.82457e-06,1.65233e-05
3.93183e-06,1.69867e-05
4.0421e-06,1.74631e-05
4.15546e-06,1.79528e-05
4.27199e-06,1.84563e-05
4.3918e-06,1.89739e-05
4.51497e-06,1.95061e-05
4.64159e-06,2.00531e-05
4.77176e-06,2.06155e-05
4.90558e-06,2.11936e-05
5.04316e-06,2.1788e-05
5.18459e-06,2.2399e-05
5.32999e-06,2.30272e-05
5.47947e-06,2.3673e-05
5.63314e-06,2.43369e-05
5.79112e-06,2.50194e-05
5.95353e-06,2.57211e-05
6.1205e-06,2.64424e-05
6.29215e-06,2.7184e-05
6.46861e-06,2.79464e-05
6.65002e-06,2.87301e-05
6.83652e-06,2.95358e-05
7.02824e-06,3.03642e-05
7.22535e-06,3.12157e-05
7.42798e-06,3.20912e-05
7.6363e-06,3.29911e-05
7.85046e-06,3.39164e-05
8.07062e-06,3.48675e-05
8.29696e-06,3.58454e-05
8.52964e-06,3.68507e-05
8.76886e-06,3.78841e-05
9.01478e-06,3.89466e-05
9.26759e-06,4.00388e-05
9.5275e-06,4.11617e-05
9.7947e-06,4.23161e-05
1.00694e-05,4.35028e-05
1.03518e-05,4.47228e-05
1.06421e-05,4.59771e-05
1.09405e-05,4.72665e-05
1.12474e-05,4.85921e-05
1.15628e-05,4.99548e-05
1.18871e-05,5.13558e-05
1.22204e-05,5.2796e-05
1.25632e-05,5.42767e-05
1.29155e-05,5.57988e-05
1.32777e-05,5.73637e-05
