  0.3097E+01  0.0000E+00
  0.5558E+01  0.2242E+00
  0.8020E+01  0.2347E+01
  0.1048E+02  0.5719E+01
  0.1294E+02  0.9218E+01
  0.1540E+02  0.1251E+02
  0.1786E+02  0.1556E+02
  0.2033E+02  0.1839E+02
  0.2279E+02  0.2103E+02
  0.2525E+02  0.2353E+02
  0.2771E+02  0.2590E+02
  0.3017E+02  0.2816E+02
  0.3263E+02  0.3034E+02
  0.3509E+02  0.3244E+02
  0.3756E+02  0.3448E+02
  0.4002E+02  0.3646E+02
  0.4248E+02  0.3838E+02
  0.4494E+02  0.4026E+02
  0.4740E+02  0.4210E+02
  0.4986E+02  0.4390E+02
  0.5232E+02  0.4566E+02
  0.5478E+02  0.4738E+02
  0.5725E+02  0.4908E+02
  0.5971E+02  0.5075E+02
  0.6217E+02  0.5239E+02
  0.6463E+02  0.5400E+02
  0.6709E+02  0.5559E+02
  0.6955E+02  0.5716E+02
  0.7201E+02  0.5870E+02
  0.7447E+02  0.6023E+02
  0.7694E+02  0.6173E+02
  0.7940E+02  0.6321E+02
  0.8186E+02  0.6468E+02
  0.8432E+02  0.6613E+02
  0.8678E+02  0.6756E+02
  0.8924E+02  0.6897E+02
  0.9170E+02  0.7037E+02
  0.9416E+02  0.7175E+02
  0.9663E+02  0.7312E+02
  0.9909E+02  0.7448E+02
  0.1015E+03  0.7582E+02
  0.1040E+03  0.7714E+02
  0.1065E+03  0.7846E+02
  0.1089E+03  0.7976E+02
  0.1114E+03  0.8104E+02
  0.1139E+03  0.8232E+02
  0.1163E+03  0.8358E+02
  0.1188E+03  0.8484E+02
  0.1212E+03  0.8608E+02
  0.1237E+03  0.8731E+02
  0.1262E+03  0.8853E+02
  0.1286E+03  0.8974E+02
  0.1311E+03  0.9094E+02
  0.1335E+03  0.9213E+02
  0.1360E+03  0.9331E+02
  0.1385E+03  0.9448E+02
  0.1409E+03  0.9564E+02
  0.1434E+03  0.9679E+02
  0.1459E+03  0.9793E+02
  0.1483E+03  0.9906E+02
  0.1508E+03  0.1002E+03
  0.1532E+03  0.1013E+03
  0.1557E+03  0.1024E+03
  0.1582E+03  0.1035E+03
  0.1606E+03  0.1046E+03
  0.1631E+03  0.1057E+03
  0.1655E+03  0.1068E+03
  0.1680E+03  0.1078E+03
  0.1705E+03  0.1089E+03
  0.1729E+03  0.1100E+03
  0.1754E+03  0.1110E+03
  0.1778E+03  0.1120E+03
  0.1803E+03  0.1131E+03
  0.1828E+03  0.1141E+03
  0.1852E+03  0.1151E+03
  0.1877E+03  0.1161E+03
  0.1902E+03  0.1171E+03
  0.1926E+03  0.1181E+03
  0.1951E+03  0.1191E+03
  0.1975E+03  0.1201E+03
  0.2000E+03  0.1211E+03
  0.2025E+03  0.1221E+03
  0.4225E+03  0.1921E+03
  0.6425E+03  0.2421E+03
  0.8625E+03  0.2813E+03
  0.1082E+04  0.3136E+03
  0.1302E+04  0.3410E+03
  0.1522E+04  0.3648E+03
  0.1742E+04  0.3858E+03
  0.1962E+04  0.4046E+03
  0.2182E+04  0.4215E+03
  0.2402E+04  0.4370E+03
  0.2622E+04  0.4511E+03
  0.2842E+04  0.4642E+03
  0.3062E+04  0.4762E+03
  0.3282E+04  0.4875E+03
  0.3502E+04  0.4980E+03
  0.3722E+04  0.5079E+03
  0.3942E+04  0.5172E+03
  0.4162E+04  0.5259E+03
  0.4382E+04  0.5342E+03
  0.4602E+04  0.5421E+03
  0.4822E+04  0.5495E+03
  0.5042E+04  0.5567E+03
  0.5262E+04  0.5635E+03
  0.5482E+04  0.5699E+03
  0.5702E+04  0.5761E+03
  0.5922E+04  0.5821E+03
  0.6142E+04  0.5878E+03
  0.6362E+04  0.5932E+03
  0.6582E+04  0.5984E+03
  0.6802E+04  0.6035E+03
  0.7022E+04  0.6084E+03
  0.7242E+04  0.6131E+03
  0.7462E+04  0.6176E+03
  0.7682E+04  0.6220E+03
  0.7902E+04  0.6263E+03
  0.8122E+04  0.6304E+03
  0.8342E+04  0.6344E+03
  0.8562E+04  0.6382E+03
  0.8782E+04  0.6420E+03
