W,sigma_GLC,sigma_BG
101.9,0.470747,0.491226
93.2637,0.465803,0.48607
85.3594,0.460709,0.480757
78.1249,0.455463,0.475288
71.5036,0.450064,0.469661
65.4435,0.444511,0.463875
59.897,0.438805,0.457931
54.8206,0.432944,0.451828
50.1744,0.42693,0.445568
45.922,0.420763,0.439151
42.0299,0.414445,0.432578
38.4678,0.407976,0.425852
35.2075,0.40136,0.418975
32.2236,0.394599,0.41195
29.4926,0.387696,0.40478
26.993,0.380655,0.397468
24.7053,0.373479,0.390021
22.6114,0.366174,0.382441
20.6951,0.358745,0.374736
18.9411,0.351197,0.366911
17.3358,0.343538,0.358973
15.8665,0.335773,0.350929
14.5218,0.327911,0.342787
13.291,0.31996,0.334555
12.1646,0.311928,0.326242
11.1336,0.303825,0.317858
10.19,0.295659,0.309412
9.32637,0.287441,0.300914
8.53594,0.279182,0.292376
7.81249,0.270892,0.283807
7.15036,0.262583,0.27522
6.54435,0.254266,0.266626
5.9897,0.245953,0.258036
5.48206,0.237656,0.249463
5.01744,0.229386,0.240919
4.5922,0.221157,0.232415
4.20299,0.212981,0.223965
3.84678,0.20487,0.215579
3.52075,0.196835,0.20727
3.22236,0.18889,0.19905
