x,y,dy_minus,dy_plus
2.301,0.2991,0.09907,0.1009
2.593,0.3999,0.1498,0.147
3.101,0.409,0.08915,0.09114
7.294,0.4782,0.07831,0.081
8.273,0.5001,0.1002,0.09793
9.199,0.6207,0.16,0.1555
12.99,0.6395,0.1319,0.1309
16.05,0.598,0.1508,0.1498
17.04,0.7313,0.1059,0.09875
69.03,0.9213,0.222,0.2137
